name,url,description,datePublished,imagen,pais,Fuente
"Informe que defiende ""nueva normalidad"" proyecta en 2 a 3 ...",https://www.emol.com/noticias/Nacional/2020/04/22/983824/Informe-nueva-normalidad.html,"Para ese periodo se estima ""altamente probable que el número de contagios nuevos sea igual al número de recuperados nuevos"", según se lee en el texto del Gobierno.",22-04-2020 15:21,https://www.bing.com/th?id=ON.929C1E366775F435DFC476DB9AAF9901,Chile,Emol
Coronavirus en San Antonio: La precaria... | Puranoticia,https://www.puranoticia.cl/noticias/regiones/coronavirus-en-san-antonio-la-precaria-situacion-de-su-hospital-y-la/2020-04-25/204927.html,Hace al menos 15 días la autoridad regional manejaba datos certeros de lo que podía suceder en San Antonio y sus alrededores.,27-04-2020 01:23,https://www.bing.com/th?id=ON.A516649310D80721342E96D854C24543,Chile,Puranoticia.cl
Marco Enríquez Ominami criticó compra de buques de guerra ...,https://www.elperiscopio.cl/destacado-1/marco-enriquez-ominami-critico-compra-de-buques-de-guerra-a-australia/,"Luego que las autoridades australianas confirmaron la venta de dos buques de guerra para Chile en medio d Covid-19,diversas voces salieron a manifestar su desagrad",27-04-2020 01:40,https://www.bing.com/th?id=ON.F167D23E7A7670ECA02060F3FFC4D45F,Chile,elperiscopio.cl
Día de las “carabinas cruzadas” | ELPINGUINO.COM,https://elpinguino.com/noticia/2020/04/26/dia-de-las-carabinas-cruzadas,"El 27 de abril de 1927 se daba origen a una de las reformas más trascendentales en torno a la función policial en Chile, lo que de una u otra forma es reflejo de una época, el entonces vicepresidente",27-04-2020 03:42,https://www.bing.com/th?id=ON.234C3419E6BAC420BD3BB99478D28D9D,Chile,ELPINGUINO
En Italia aseguran que la MLS podría ser el próximo ...,https://www.publimetro.cl/cl/grafico-chile/2020/04/26/alexis-sanchez-mls-fichajes.html,Las especulaciones sobre el posible arribo del delantero chileno a la liga de Estados Unidos aumentan con la compra de una casa lujosa en Florida.,27-04-2020 03:56,https://www.bing.com/th?id=ON.2937069C4B6530CDAE52CB13FF78FB15,Chile,publimetro.cl
Defensores visitan cárceles de la región para conocer ...,http://www.eldivisadero.cl/noticia-56642,"De esta manera, el pasado miércoles se dio inicio en la región a estos operativos. El lugar elegido fue la cárcel de Coyhaique por ser la que concentra el mayor número de personas, hombre y mujeres pr",27-04-2020 04:03,https://www.bing.com/th?id=ON.0921FC594BDE86AA2094C51C1E6620E4,Chile,Diario el Divisadero
Se abren 1.200 nuevos cupos para cursos sin costo para ...,http://www.granvalparaiso.cl/tendencias/se-abren-1-200-nuevos-cupos-para-cursos-sin-costo-para-cubrir-la-alta-demanda-por-trabajadores-del-area-digital/,"En un contexto donde la demanda por personas con habilidades digitales ha aumentado en un 32%, Sence y el programa Talento Digital para Chile anunciaron sus 3.000 becas 2020. La primera convocatoria o",27-04-2020 04:39,https://www.bing.com/th?id=ON.B20E6D0FC225F65654D8E62232603B21,Chile,granvalparaiso.cl
Creamfields Chile anunció line-up del evento y comunicó ...,https://www.radiosantiago.cl/archivo/128144,"Durante este domingo, Creamfields Chile anunció su line-up luego de la postergación del festival debido a la pandemia por coronavirus Covid-19. A través de redes sociales, la organización comunicó",27-04-2020 05:33,https://www.bing.com/th?id=ON.22EA2E72EB7099EC3D40CA7E54FBE6D7,Chile,Radio Santiago
Piñera por fecha del Plebiscito y la pandemia: “Es un tema ...,https://www.adnradio.cl/politica/2020/04/26/pinera-por-fecha-del-plebiscito-y-la-pandemia-es-un-tema-que-quizas-se-va-a-volver-a-discutir.html,"En conversación con CNN en Español, el Presidente Sebastián Piñera habló acerca del impacto que podría generar la pandemia del coronavirus Covid-19, principalmente en el Plebiscito con miras al proces",27-04-2020 05:34,https://www.bing.com/th?id=ON.612C262D507F13EEB823FDE305B8A22B,Chile,ADN
Estudio chileno sobre Covid-19 determinó que microgotas de ...,https://www.elmostrador.cl/agenda-pais/2020/04/27/estudio-chileno-sobre-covid-19-determino-que-microgotas-de-estornudos-pueden-viajar-hasta-11-metros/,"Un estudio liderado por investigadores de MSET, UdeC e Incar determinó que microgotas de estornudos pueden viajar hasta 11 metros, considerando factores como el viento.",27-04-2020 06:27,https://www.bing.com/th?id=ON.7BB5ED8A6031DB01CA0A5254A6D25472,Chile,El Mostrador
