ID,Nombre Español,Nombre Ingles,WORLD_SN,"WORLDM_Country,Other",ECDC_SN,ECDC_countriesAndTerritories,OURWOR_SN,OURWORLD_Entity,JHONH_SN,JHONH_Country/Region,Early_SN,Early_COUNTRY,Tipo,Nombre común,"Estado
(forma oficial)",Forma de gobierno,Capital,Continente,Mapa Google,Wikipedia,MapUbicaciónWIKI,Noticias BING,Videos BING
1,Afganistán,Afghanistan,S,Afghanistan,S,Afghanistan,S,Afghanistan,S,Afghanistan,N,Afghanistan,Estado Soberanos,Afganistán,República Islámica de Afganistán,República islámica presidencialista,Kabul,Asia,https://www.google.com/maps/place/Afganistán,https://es.wikipedia.org/wiki/Afganistán,https://commons.wikimedia.org/wiki/File:Afghanistan_in_its_region.svg#/media/File:Afghanistan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Afghanistan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Afghanistan&FORM=HDRSC4
2,Albania,Albania,S,Albania,S,Albania,S,Albania,S,Albania,S,Albania,Estado Soberanos,Albania,República de Albania,República parlamentaria,Tirana,Europa,https://www.google.com/maps/place/Albania,https://es.wikipedia.org/wiki/Albania,https://commons.wikimedia.org/wiki/File:Albania_in_its_region.svg#/media/File:Albania_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Albania&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Albania&FORM=HDRSC4
3,Alemania,Germany,S,Germany,S,Ghana,S,Germany,S,Germany,S,Germany,Estado Soberanos,Alemania,República Federal de Alemania,República parlamentaria,Berlín,Europa,https://www.google.com/maps/place/Alemania,https://es.wikipedia.org/wiki/Alemania,https://commons.wikimedia.org/wiki/File:Germany_in_its_region.svg#/media/File:Germany_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Germany&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Germany&FORM=HDRSC4
4,Andorra,Andorra,S,Andorra,S,Andorra,S,Andorra,S,Andorra,N,Andorra,Estado Soberanos,Andorra,Principado de Andorra,Monarquía constitucional,Andorra la Vieja,Europa,https://www.google.com/maps/place/Andorra,https://es.wikipedia.org/wiki/Andorra,https://commons.wikimedia.org/wiki/File:Andorra_in_its_region.svg#/media/File:Andorra_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Andorra&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Andorra&FORM=HDRSC4
5,Angola,Angola,S,Angola,S,Angola,S,Angola,S,Angola,N,Angola,Estado Soberanos,Angola,República de Angola,República presidencialista,Luanda,África,https://www.google.com/maps/place/Angola,https://es.wikipedia.org/wiki/Angola,https://commons.wikimedia.org/wiki/File:Angola_in_its_region.svg#/media/File:Angola_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Angola&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Angola&FORM=HDRSC4
6,Antigua y Barbuda,Antigua and Barbuda,S,Antigua and Barbuda,S,Antigua_and_Barbuda,S,Antigua and Barbuda,S,Antigua and Barbuda,N,Antigua and Barbuda,Estado Soberanos,Antigua y Barbuda,Antigua y Barbuda,Monarquía constitucional,Saint John,América,https://www.google.com/maps/place/Antigua y Barbuda,https://es.wikipedia.org/wiki/Antigua y Barbuda,https://commons.wikimedia.org/wiki/File:Antigua and Barbuda_in_its_region.svg#/media/File:Antigua and Barbuda_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Antigua and Barbuda&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Antigua and Barbuda&FORM=HDRSC4
7,Arabia Saudita / Arabia Saudí,Saudi Arabia,S,Saudi Arabia,S,Saudi_Arabia,S,Saudi Arabia,S,Saudi Arabia,S,Saudi Arabia,Estado Soberanos,Arabia Saudita / Arabia Saudí,Reino de Arabia Saudita,Monarquía absoluta,Riad,Asia,https://www.google.com/maps/place/Arabia Saudita / Arabia Saudí,https://es.wikipedia.org/wiki/Arabia Saudita / Arabia Saudí,https://commons.wikimedia.org/wiki/File:Saudi Arabia_in_its_region.svg#/media/File:Saudi Arabia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Saudi Arabia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Saudi Arabia&FORM=HDRSC4
8,Argelia,Algeria,S,Algeria,S,Algeria,S,Algeria,S,Algeria,S,Algeria,Estado Soberanos,Argelia,República Argelina Democrática y Popular,República semipresidencialista,Argel,África,https://www.google.com/maps/place/Argelia,https://es.wikipedia.org/wiki/Argelia,https://commons.wikimedia.org/wiki/File:Algeria_in_its_region.svg#/media/File:Algeria_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Algeria&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Algeria&FORM=HDRSC4
9,Argentina,Argentina,S,Argentina,S,Argentina,S,Argentina,S,Argentina,S,Argentina,Estado Soberanos,Argentina,República Argentina,República presidencialista,Buenos Aires,América,https://www.google.com/maps/place/Argentina,https://es.wikipedia.org/wiki/Argentina,https://commons.wikimedia.org/wiki/File:Argentina_in_its_region.svg#/media/File:Argentina_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Argentina&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Argentina&FORM=HDRSC4
10,Armenia,Armenia,S,Armenia,S,Armenia,S,Armenia,S,Armenia,S,Armenia,Estado Soberanos,Armenia,República de Armenia,República parlamentaria,Ereván,Europa-Asia,https://www.google.com/maps/place/Armenia,https://es.wikipedia.org/wiki/Armenia,https://commons.wikimedia.org/wiki/File:Armenia_in_its_region.svg#/media/File:Armenia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Armenia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Armenia&FORM=HDRSC4
