ID,Nombre Español,Nombre Ingles,WORLD_SN,"WORLDM_Country,Other",ECDC_SN,ECDC_countriesAndTerritories,OURWOR_SN,OURWORLD_Entity,JHONH_SN,JHONH_Country/Region,Early_SN,Early_COUNTRY,Tipo,Nombre común,"Estado
(forma oficial)",Forma de gobierno,Capital,Continente,Mapa Google,Wikipedia,MapUbicaciónWIKI,Noticias BING,Videos BING
49,Costa de Marfil,Ivory Coast,S,Ivory Coast,S,Cote_dIvoire,S,Cote d'Ivoire,S,Cote d'Ivoire,S,C?te d'Ivoire,Estado Soberanos,Costa de Marfil,República de Costa de Marfil,República presidencialista,Yamusukro​,África,https://www.google.com/maps/place/Costa de Marfil,https://es.wikipedia.org/wiki/Costa de Marfil,https://commons.wikimedia.org/wiki/File:Ivory Coast_in_its_region.svg#/media/File:Ivory Coast_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ivory Coast&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ivory Coast&FORM=HDRSC4
50,Costa Rica,Costa Rica,S,Costa Rica,S,Costa_Rica,S,Costa Rica,S,Costa Rica,S,Costa Rica,Estado Soberanos,Costa Rica,República de Costa Rica,República presidencialista,San José,América,https://www.google.com/maps/place/Costa Rica,https://es.wikipedia.org/wiki/Costa Rica,https://commons.wikimedia.org/wiki/File:Costa Rica_in_its_region.svg#/media/File:Costa Rica_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Costa Rica&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Costa Rica&FORM=HDRSC4
51,Croacia,Croatia,S,Croatia,S,Croatia,S,Croatia,S,Croatia,S,Croatia,Estado Soberanos,Croacia,República de Croacia,República parlamentaria,Zagreb,Europa,https://www.google.com/maps/place/Croacia,https://es.wikipedia.org/wiki/Croacia,https://commons.wikimedia.org/wiki/File:Croatia_in_its_region.svg#/media/File:Croatia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Croatia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Croatia&FORM=HDRSC4
52,Cuba,Cuba,S,Cuba,S,Cuba,S,Cuba,S,Cuba,S,Cuba,Estado Soberanos,Cuba,República de Cuba,Estado socialista unipartidista,La Habana,América,https://www.google.com/maps/place/Cuba,https://es.wikipedia.org/wiki/Cuba,https://commons.wikimedia.org/wiki/File:Cuba_in_its_region.svg#/media/File:Cuba_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cuba&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cuba&FORM=HDRSC4
53,Dinamarca,Denmark,S,Denmark,S,Denmark,S,Denmark,S,Denmark,S,Denmark,País constituyente Autónomo,Dinamarca,Reino de Dinamarca,Monarquía parlamentaria,Copenhague,Europa,https://www.google.com/maps/place/Dinamarca,https://es.wikipedia.org/wiki/Dinamarca,https://commons.wikimedia.org/wiki/File:Denmark_in_its_region.svg#/media/File:Denmark_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Denmark&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Denmark&FORM=HDRSC4
54,Dominica,Dominica,S,Dominica,S,Dominica,S,Dominica,S,Dominica,N,Dominica,Estado Soberanos,Dominica,Mancomunidad de Dominica,Monarquía constitucional,Roseau,América,https://www.google.com/maps/place/Dominica,https://es.wikipedia.org/wiki/Dominica,https://commons.wikimedia.org/wiki/File:Dominica_in_its_region.svg#/media/File:Dominica_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Dominica&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Dominica&FORM=HDRSC4
55,República Dominicana,Dominican Republic,S,Dominican Republic,S,Dominican_Republic,S,Dominican Republic,S,Dominican Republic,S,Dominican Republic,Estado Soberanos,República Dominicana,República Dominicana,República presidencialista,Santo Domingo,América,https://www.google.com/maps/place/República Dominicana,https://es.wikipedia.org/wiki/República Dominicana,https://commons.wikimedia.org/wiki/File:Dominican Republic_in_its_region.svg#/media/File:Dominican Republic_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Dominican Republic&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Dominican Republic&FORM=HDRSC4
56,Ecuador,Ecuador,S,Ecuador,S,Ecuador,S,Ecuador,S,Ecuador,S,Ecuador,Estado Soberanos,Ecuador,República del Ecuador,República presidencialista,Quito,América,https://www.google.com/maps/place/Ecuador,https://es.wikipedia.org/wiki/Ecuador,https://commons.wikimedia.org/wiki/File:Ecuador_in_its_region.svg#/media/File:Ecuador_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ecuador&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ecuador&FORM=HDRSC4
57,Egipto,Egypt,S,Egypt,S,Egypt,S,Egypt,S,Egypt,N,Egypt,Estado Soberanos,Egipto,República Árabe de Egipto,República semipresidencialista,El Cairo,África,https://www.google.com/maps/place/Egipto,https://es.wikipedia.org/wiki/Egipto,https://commons.wikimedia.org/wiki/File:Egypt_in_its_region.svg#/media/File:Egypt_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Egypt&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Egypt&FORM=HDRSC4
58,El Salvador,El Salvador,S,El Salvador,S,El_Salvador,S,El Salvador,S,El Salvador,S,El Salvador,Estado Soberanos,El Salvador,República de El Salvador,República presidencialista,San Salvador,América,https://www.google.com/maps/place/El Salvador,https://es.wikipedia.org/wiki/El Salvador,https://commons.wikimedia.org/wiki/File:El Salvador_in_its_region.svg#/media/File:El Salvador_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +El Salvador&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +El Salvador&FORM=HDRSC4
59,Emiratos Árabes Unidos,United Arab Emirates,S,UAE,S,United_Arab_Emirates,S,United Arab Emirates,S,United Arab Emirates,S,United Arab Emirates,Estado Soberanos,Emiratos Árabes Unidos,Emiratos Árabes Unidos,Monarquía constitucional electiva,Abu Dabi,Asia,https://www.google.com/maps/place/Emiratos Árabes Unidos,https://es.wikipedia.org/wiki/Emiratos Árabes Unidos,https://commons.wikimedia.org/wiki/File:United Arab Emirates_in_its_region.svg#/media/File:United Arab Emirates_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +United Arab Emirates&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +United Arab Emirates&FORM=HDRSC4
60,Eritrea,Eritrea,S,Eritrea,S,Eritrea,S,Eritrea,S,Eritrea,S,Eritrea,Estado Soberanos,Eritrea,Estado de Eritrea,República unipartidista,Asmara,África,https://www.google.com/maps/place/Eritrea,https://es.wikipedia.org/wiki/Eritrea,https://commons.wikimedia.org/wiki/File:Eritrea_in_its_region.svg#/media/File:Eritrea_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Eritrea&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Eritrea&FORM=HDRSC4
61,Eslovaquia,Slovakia,S,Slovakia,S,Slovakia,S,Slovakia,S,Slovakia,S,Slovakia,Estado Soberanos,Eslovaquia,República Eslovaca,República parlamentaria,Bratislava,Europa,https://www.google.com/maps/place/Eslovaquia,https://es.wikipedia.org/wiki/Eslovaquia,https://commons.wikimedia.org/wiki/File:Slovakia_in_its_region.svg#/media/File:Slovakia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Slovakia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Slovakia&FORM=HDRSC4
62,Eslovenia,Slovenia,S,Slovenia,S,Slovenia,S,Slovenia,S,Slovenia,S,Slovenia,Estado Soberanos,Eslovenia,República de Eslovenia,República parlamentaria,Liubliana,Europa,https://www.google.com/maps/place/Eslovenia,https://es.wikipedia.org/wiki/Eslovenia,https://commons.wikimedia.org/wiki/File:Slovenia_in_its_region.svg#/media/File:Slovenia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Slovenia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Slovenia&FORM=HDRSC4
63,España,Spain,S,Spain,S,Spain,S,Spain,S,Spain,S,Spain,Estado Soberanos,España,Reino de España,Monarquía parlamentaria,Madrid,Europa,https://www.google.com/maps/place/España,https://es.wikipedia.org/wiki/España,https://commons.wikimedia.org/wiki/File:Spain_in_its_region.svg#/media/File:Spain_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Spain&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Spain&FORM=HDRSC4
64,Estados Unidos,United States,S,USA,S,United_States_of_America,S,United States,S,US,S,United States,Estado Soberanos,Estados Unidos,Estados Unidos de América,República presidencialista,Washington D. C.,América,https://www.google.com/maps/place/Estados Unidos,https://es.wikipedia.org/wiki/Estados Unidos,https://commons.wikimedia.org/wiki/File:United States_in_its_region.svg#/media/File:United States_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +United States&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +United States&FORM=HDRSC4
65,Estonia,Estonia,S,Estonia,S,Estonia,S,Estonia,S,Estonia,S,Estonia,Estado Soberanos,Estonia,República de Estonia,República parlamentaria,Tallin,Europa,https://www.google.com/maps/place/Estonia,https://es.wikipedia.org/wiki/Estonia,https://commons.wikimedia.org/wiki/File:Estonia_in_its_region.svg#/media/File:Estonia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Estonia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Estonia&FORM=HDRSC4
66,Etiopía,Ethiopia,S,Ethiopia,S,Ethiopia,S,Ethiopia,S,Ethiopia,S,Ethiopia,Estado Soberanos,Etiopía,República Democrática Federal de Etiopía,República parlamentaria,Adís Abeba,África,https://www.google.com/maps/place/Etiopía,https://es.wikipedia.org/wiki/Etiopía,https://commons.wikimedia.org/wiki/File:Ethiopia_in_its_region.svg#/media/File:Ethiopia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ethiopia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ethiopia&FORM=HDRSC4
67,Filipinas,Philippines,S,Philippines,S,Philippines,S,Philippines,S,Philippines,S,Philippines,Estado Soberanos,Filipinas,República de Filipinas,República presidencialista,Manila,Asia,https://www.google.com/maps/place/Filipinas,https://es.wikipedia.org/wiki/Filipinas,https://commons.wikimedia.org/wiki/File:Philippines_in_its_region.svg#/media/File:Philippines_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Philippines&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Philippines&FORM=HDRSC4
68,Finlandia,Finland,S,Finland,S,Finland,S,Finland,S,Finland,S,Finland,Estado Soberanos,Finlandia,República de Finlandia,República parlamentaria,Helsinki,Europa,https://www.google.com/maps/place/Finlandia,https://es.wikipedia.org/wiki/Finlandia,https://commons.wikimedia.org/wiki/File:Finland_in_its_region.svg#/media/File:Finland_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Finland&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Finland&FORM=HDRSC4
69,Fiyi,Fiji,S,Fiji,S,Fiji,S,Fiji,S,Fiji,N,Fiji,Estado Soberanos,Fiyi,República de Fiyi,República parlamentaria,Suva,Oceanía,https://www.google.com/maps/place/Fiyi,https://es.wikipedia.org/wiki/Fiyi,https://commons.wikimedia.org/wiki/File:Fiji_in_its_region.svg#/media/File:Fiji_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Fiji&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Fiji&FORM=HDRSC4
70,Francia,France,S,France,S,France,S,France,S,France,S,France,Estado Soberanos,Francia,República Francesa,República semipresidencialista,París,Europa,https://www.google.com/maps/place/Francia,https://es.wikipedia.org/wiki/Francia,https://commons.wikimedia.org/wiki/File:France_in_its_region.svg#/media/File:France_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +France&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +France&FORM=HDRSC4
71,Gabón,Gabon,S,Gabon,S,Gambia,S,Gabon,S,Gabon,S,Gabon,Estado Soberanos,Gabón,República Gabonesa,República presidencialista,Libreville,África,https://www.google.com/maps/place/Gabón,https://es.wikipedia.org/wiki/Gabón,https://commons.wikimedia.org/wiki/File:Gabon_in_its_region.svg#/media/File:Gabon_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Gabon&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Gabon&FORM=HDRSC4
72,Gambia,Gambia,S,Gambia,S,Georgia,S,Gambia,S,Gambia,N,Gambia,Estado Soberanos,Gambia,República del Gambia,República presidencialista,Banjul,África,https://www.google.com/maps/place/Gambia,https://es.wikipedia.org/wiki/Gambia,https://commons.wikimedia.org/wiki/File:Gambia_in_its_region.svg#/media/File:Gambia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Gambia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Gambia&FORM=HDRSC4
73,Georgia,Georgia,S,Georgia,S,Germany,S,Georgia,S,Georgia,N,Georgia,Estado Soberanos,Georgia,Georgia,República semipresidencialista,Tiflis​,Europa-Asia,https://www.google.com/maps/place/Georgia,https://es.wikipedia.org/wiki/Georgia,https://commons.wikimedia.org/wiki/File:Georgia_in_its_region.svg#/media/File:Georgia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Georgia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Georgia&FORM=HDRSC4
74,Ghana,Ghana,S,Ghana,S,Gibraltar,S,Ghana,S,Ghana,S,Ghana,Estado Soberanos,Ghana,República de Ghana,República presidencialista,Acra,África,https://www.google.com/maps/place/Ghana,https://es.wikipedia.org/wiki/Ghana,https://commons.wikimedia.org/wiki/File:Ghana_in_its_region.svg#/media/File:Ghana_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ghana&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ghana&FORM=HDRSC4
75,Granada,Grenada,S,Grenada,N,Grenada,S,Grenada,S,Grenada,N,Grenada,Estado Soberanos,Granada,Granada,Monarquía constitucional,Saint George,América,https://www.google.com/maps/place/Granada,https://es.wikipedia.org/wiki/Granada,https://commons.wikimedia.org/wiki/File:Grenada_in_its_region.svg#/media/File:Grenada_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Grenada&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Grenada&FORM=HDRSC4
76,Grecia,Greece,S,Greece,S,Greenland,S,Greece,S,Greece,N,Greece,Estado Soberanos,Grecia,República Helénica,República parlamentaria,Atenas,Europa,https://www.google.com/maps/place/Grecia,https://es.wikipedia.org/wiki/Grecia,https://commons.wikimedia.org/wiki/File:Greece_in_its_region.svg#/media/File:Greece_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Greece&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Greece&FORM=HDRSC4
77,Guatemala,Guatemala,S,Guatemala,S,Guatemala,S,Guatemala,S,Guatemala,S,Guatemala,Estado Soberanos,Guatemala,República de Guatemala,República presidencialista,Ciudad de Guatemala,América,https://www.google.com/maps/place/Guatemala,https://es.wikipedia.org/wiki/Guatemala,https://commons.wikimedia.org/wiki/File:Guatemala_in_its_region.svg#/media/File:Guatemala_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guatemala&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guatemala&FORM=HDRSC4
78,Guinea,Guinea,S,Guinea,S,Guinea,S,Guinea,S,Guinea,S,Guinea,Estado Soberanos,Guinea,República de Guinea,República presidencialista,Conakri,África,https://www.google.com/maps/place/Guinea,https://es.wikipedia.org/wiki/Guinea,https://commons.wikimedia.org/wiki/File:Guinea_in_its_region.svg#/media/File:Guinea_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guinea&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guinea&FORM=HDRSC4
79,Guinea-Bisáu,Guinea-Bissau,S,Guinea-Bissau,S,Guinea_Bissau,S,Guinea-Bissau,S,Guinea-Bissau,N,Guinea-Bissau,Estado Soberanos,Guinea-Bisáu,República de Guinea-Bisáu,República semipresidencialista,Bisáu,África,https://www.google.com/maps/place/Guinea-Bisáu,https://es.wikipedia.org/wiki/Guinea-Bisáu,https://commons.wikimedia.org/wiki/File:Guinea-Bissau_in_its_region.svg#/media/File:Guinea-Bissau_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guinea-Bissau&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guinea-Bissau&FORM=HDRSC4
80,Guinea Ecuatorial,Equatorial Guinea,S,Equatorial Guinea,S,Equatorial_Guinea,S,Equatorial Guinea,S,Equatorial Guinea,N,Equatorial Guinea,Estado Soberanos,Guinea Ecuatorial,República de Guinea Ecuatorial,República presidencialista,Malabo,África,https://www.google.com/maps/place/Guinea Ecuatorial,https://es.wikipedia.org/wiki/Guinea Ecuatorial,https://commons.wikimedia.org/wiki/File:Equatorial Guinea_in_its_region.svg#/media/File:Equatorial Guinea_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Equatorial Guinea&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Equatorial Guinea&FORM=HDRSC4
81,Guyana,Guyana,S,Guyana,S,Guyana,S,Guyana,S,Guyana,N,Guyana,Estado Soberanos,Guyana,República Cooperativa de Guyana,República presidencialista,Georgetown,América,https://www.google.com/maps/place/Guyana,https://es.wikipedia.org/wiki/Guyana,https://commons.wikimedia.org/wiki/File:Guyana_in_its_region.svg#/media/File:Guyana_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Guyana&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Guyana&FORM=HDRSC4
82,Haití,Haiti,S,Haiti,S,Haiti,S,Haiti,S,Haiti,S,Haiti,Estado Soberanos,Haití,República de Haití,República semipresidencialista,Puerto Príncipe,América,https://www.google.com/maps/place/Haití,https://es.wikipedia.org/wiki/Haití,https://commons.wikimedia.org/wiki/File:Haiti_in_its_region.svg#/media/File:Haiti_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Haiti&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Haiti&FORM=HDRSC4
83,Honduras,Honduras,S,Honduras,S,Honduras,S,Honduras,S,Honduras,S,Honduras,Estado Soberanos,Honduras,República de Honduras,República presidencialista,Tegucigalpa,América,https://www.google.com/maps/place/Honduras,https://es.wikipedia.org/wiki/Honduras,https://commons.wikimedia.org/wiki/File:Honduras_in_its_region.svg#/media/File:Honduras_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Honduras&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Honduras&FORM=HDRSC4
84,Hungría,Hungary,S,Hungary,S,Hungary,S,Hungary,S,Hungary,N,Hungary,Estado Soberanos,Hungría,Hungría,República parlamentaria,Budapest,Europa,https://www.google.com/maps/place/Hungría,https://es.wikipedia.org/wiki/Hungría,https://commons.wikimedia.org/wiki/File:Hungary_in_its_region.svg#/media/File:Hungary_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Hungary&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Hungary&FORM=HDRSC4
85,India,India,S,India,S,India,S,India,S,India,S,India,Estado Soberanos,India,República de la India,República parlamentaria,Nueva Delhi,Asia,https://www.google.com/maps/place/India,https://es.wikipedia.org/wiki/India,https://commons.wikimedia.org/wiki/File:India_in_its_region.svg#/media/File:India_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +India&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +India&FORM=HDRSC4
86,Indonesia,Indonesia,S,Indonesia,S,Indonesia,S,Indonesia,S,Indonesia,S,Indonesia,Estado Soberanos,Indonesia,República de Indonesia,República presidencialista,Yakarta,Asia,https://www.google.com/maps/place/Indonesia,https://es.wikipedia.org/wiki/Indonesia,https://commons.wikimedia.org/wiki/File:Indonesia_in_its_region.svg#/media/File:Indonesia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Indonesia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Indonesia&FORM=HDRSC4
87,Irak,Iraq,S,Iraq,S,Iraq,S,Iraq,S,Iraq,S,Iraq,Estado Soberanos,Irak,República de Irak,República parlamentaria,Bagdad,Asia,https://www.google.com/maps/place/Irak,https://es.wikipedia.org/wiki/Irak,https://commons.wikimedia.org/wiki/File:Iraq_in_its_region.svg#/media/File:Iraq_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Iraq&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Iraq&FORM=HDRSC4
88,Irán,Iran,S,Iran,S,Iran,S,Iran,S,Iran,S,Iran,Estado Soberanos,Irán,República Islámica de Irán,República islámica presidencialista,Teherán,Asia,https://www.google.com/maps/place/Irán,https://es.wikipedia.org/wiki/Irán,https://commons.wikimedia.org/wiki/File:Iran_in_its_region.svg#/media/File:Iran_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Iran&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Iran&FORM=HDRSC4
89,Irlanda,Ireland,S,Ireland,S,Ireland,S,Ireland,S,Ireland,N,Ireland,Estado Soberanos,Irlanda,República de Irlanda,República parlamentaria,Dublín,Europa,https://www.google.com/maps/place/Irlanda,https://es.wikipedia.org/wiki/Irlanda,https://commons.wikimedia.org/wiki/File:Ireland_in_its_region.svg#/media/File:Ireland_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Ireland&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Ireland&FORM=HDRSC4
90,Islandia,Iceland,S,Iceland,S,Iceland,S,Iceland,S,Iceland,N,Iceland,Estado Soberanos,Islandia,República de Islandia,República parlamentaria,Reikiavik,Europa,https://www.google.com/maps/place/Islandia,https://es.wikipedia.org/wiki/Islandia,https://commons.wikimedia.org/wiki/File:Iceland_in_its_region.svg#/media/File:Iceland_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Iceland&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Iceland&FORM=HDRSC4
91,Israel,Israel,S,Israel,S,Israel,S,Israel,S,Israel,S,Israel,Estado Soberanos,Israel,Estado de Israel,República parlamentaria,"oficial: Jerusalén​
de facto: Tel Aviv​",Asia,https://www.google.com/maps/place/Israel,https://es.wikipedia.org/wiki/Israel,https://commons.wikimedia.org/wiki/File:Israel_in_its_region.svg#/media/File:Israel_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Israel&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Israel&FORM=HDRSC4
92,Italia,Italy,S,Italy,S,Italy,S,Italy,S,Italy,S,Italy,Estado Soberanos,Italia,República Italiana,República parlamentaria,Roma,Europa,https://www.google.com/maps/place/Italia,https://es.wikipedia.org/wiki/Italia,https://commons.wikimedia.org/wiki/File:Italy_in_its_region.svg#/media/File:Italy_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Italy&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Italy&FORM=HDRSC4
93,Jamaica,Jamaica,S,Jamaica,S,Jamaica,S,Jamaica,S,Jamaica,S,Jamaica,Estado Soberanos,Jamaica,Jamaica,Monarquía constitucional,Kingston,América,https://www.google.com/maps/place/Jamaica,https://es.wikipedia.org/wiki/Jamaica,https://commons.wikimedia.org/wiki/File:Jamaica_in_its_region.svg#/media/File:Jamaica_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Jamaica&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Jamaica&FORM=HDRSC4
94,Japón,Japan,S,Japan,S,Japan,S,Japan,S,Japan,S,Japan,Estado Soberanos,Japón,Estado del Japón,Monarquía parlamentaria,Tokio,Asia,https://www.google.com/maps/place/Japón,https://es.wikipedia.org/wiki/Japón,https://commons.wikimedia.org/wiki/File:Japan_in_its_region.svg#/media/File:Japan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Japan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Japan&FORM=HDRSC4
95,Jordania,Jordan,S,Jordan,S,Jordan,S,Jordan,S,Jordan,N,Jordan,Estado Soberanos,Jordania,Reino Hachemita de Jordania,Monarquía constitucional,Amán,Asia,https://www.google.com/maps/place/Jordania,https://es.wikipedia.org/wiki/Jordania,https://commons.wikimedia.org/wiki/File:Jordan_in_its_region.svg#/media/File:Jordan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Jordan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Jordan&FORM=HDRSC4
96,Kazajistán,Kazakhstan,S,Kazakhstan,S,Kazakhstan,S,Kazakhstan,S,Kazakhstan,N,Kazakhstan,Estado Soberanos,Kazajistán,República de Kazajistán,República semipresidencialista,Nursultán,Europa-Asia,https://www.google.com/maps/place/Kazajistán,https://es.wikipedia.org/wiki/Kazajistán,https://commons.wikimedia.org/wiki/File:Kazakhstan_in_its_region.svg#/media/File:Kazakhstan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kazakhstan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kazakhstan&FORM=HDRSC4
97,Kenia,Kenya,S,Kenya,S,Kenya,S,Kenya,S,Kenya,N,Kenya,Estado Soberanos,Kenia,República de Kenia,República presidencialista,Nairobi,África,https://www.google.com/maps/place/Kenia,https://es.wikipedia.org/wiki/Kenia,https://commons.wikimedia.org/wiki/File:Kenya_in_its_region.svg#/media/File:Kenya_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kenya&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kenya&FORM=HDRSC4
98,Kirguistán,Kyrgyzstan,S,Kyrgyzstan,S,Kyrgyzstan,S,Kyrgyzstan,S,Kyrgyzstan,N,Kyrgyzstan,Estado Soberanos,Kirguistán,República Kirguisa,República parlamentaria,Biskek,Asia,https://www.google.com/maps/place/Kirguistán,https://es.wikipedia.org/wiki/Kirguistán,https://commons.wikimedia.org/wiki/File:Kyrgyzstan_in_its_region.svg#/media/File:Kyrgyzstan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Kyrgyzstan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Kyrgyzstan&FORM=HDRSC4
