"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,Primer caso
China,81554,+36,3312.0,+7,76238.0,2004,466.0,57.0,2.0,Jan 10,10-01-2020
USA,188530,"+24,742",4053.0,+912,7251.0,177226,4576.0,570.0,12.0,Jan 20,20-01-2020
Italy,105792,"+4,053",12428.0,+837,15729.0,77635,4023.0,1750.0,206.0,Jan 29,29-01-2020
Spain,95923,"+7,967",8464.0,+748,19259.0,68200,5607.0,2052.0,181.0,Jan 30,30-01-2020
Germany,71808,"+4,923",775.0,+130,16100.0,54933,2675.0,857.0,9.0,Jan 26,26-01-2020
France,52128,"+7,578",3523.0,+499,9444.0,39161,5565.0,799.0,54.0,Jan 23,23-01-2020
Iran,44605,"+3,110",2898.0,+141,14656.0,27051,3703.0,531.0,35.0,Feb 18,18-02-2020
UK,25150,"+3,009",1789.0,+381,135.0,23226,163.0,370.0,26.0,Jan 30,30-01-2020
Switzerland,16605,+683,433.0,+74,1823.0,14349,301.0,1919.0,50.0,Feb 24,24-02-2020
Turkey,13531,"+2,704",214.0,+46,243.0,13074,622.0,160.0,3.0,Mar 09,09-03-2020
Belgium,12775,+876,705.0,+192,1696.0,10374,1021.0,1102.0,61.0,Feb 03,03-02-2020
Netherlands,12595,+845,1039.0,+175,250.0,11306,1053.0,735.0,61.0,Feb 26,26-02-2020
Austria,10180,+562,128.0,+20,1095.0,8957,198.0,1130.0,14.0,Feb 24,24-02-2020
S. Korea,9786,+125,162.0,+4,5408.0,4216,55.0,191.0,3.0,Jan 19,19-01-2020
Canada,8612,"+1,164",101.0,+12,1242.0,7269,120.0,228.0,3.0,Jan 24,24-01-2020
Portugal,7443,"+1,035",160.0,+20,43.0,7240,188.0,730.0,16.0,Mar 01,01-03-2020
Brazil,5717,"+1,087",201.0,+38,127.0,5389,296.0,27.0,0.9,Feb 24,24-02-2020
Israel,5358,+663,20.0,+4,224.0,5114,94.0,619.0,2.0,Feb 20,20-02-2020
