"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,Primer caso
Australia,4763,+303,20.0,+1,345.0,4398,28.0,187.0,0.8,Jan 24,24-01-2020
Norway,4641,+196,39.0,+7,13.0,4589,97.0,856.0,7.0,Feb 25,25-02-2020
Sweden,4435,+407,180.0,+34,16.0,4239,358.0,439.0,18.0,Jan 30,30-01-2020
Czechia,3308,+307,31.0,+8,45.0,3232,64.0,309.0,3.0,Feb 29,29-02-2020
Ireland,3235,+325,71.0,+17,5.0,3159,103.0,655.0,14.0,Feb 28,28-02-2020
Denmark,2860,+283,90.0,+13,1.0,2769,145.0,494.0,16.0,Feb 26,26-02-2020
Malaysia,2766,+140,43.0,+6,537.0,2186,94.0,85.0,1.0,Jan 24,24-01-2020
Chile,2738,+289,12.0,+4,156.0,2570,14.0,143.0,0.6,Mar 02,02-03-2020
Russia,2337,+501,17.0,+8,121.0,2199,8.0,16.0,0.1,Jan 30,30-01-2020
Poland,2311,+256,33.0,+2,7.0,2271,50.0,61.0,0.9,Mar 03,03-03-2020
Ecuador,2302,+336,79.0,+17,58.0,2165,100.0,130.0,4.0,Feb 28,28-02-2020
Romania,2245,+136,82.0,+17,220.0,1943,62.0,117.0,4.0,Feb 25,25-02-2020
Japan,2178,+225,57.0,+1,424.0,1697,69.0,17.0,0.5,Jan 14,14-01-2020
Luxembourg,2178,+190,23.0,+1,80.0,2075,31.0,3479.0,37.0,Feb 28,28-02-2020
Philippines,2084,+538,88.0,+10,49.0,1947,1.0,19.0,0.8,Jan 29,29-01-2020
Pakistan,1938,+221,26.0,+5,76.0,1836,12.0,9.0,0.1,Feb 25,25-02-2020
Thailand,1651,+127,10.0,+1,342.0,1299,23.0,24.0,0.1,Jan 12,12-01-2020
Saudi Arabia,1563,+110,10.0,+2,165.0,1388,31.0,45.0,0.3,Mar 01,01-03-2020
Indonesia,1528,+114,136.0,+14,81.0,1311,,6.0,0.5,Mar 01,01-03-2020
Finland,1418,+66,17.0,+4,10.0,1391,56.0,256.0,3.0,Jan 28,28-01-2020
India,1397,+146,35.0,+3,123.0,1239,,1.0,0.03,Jan 29,29-01-2020
South Africa,1353,+27,5.0,+2,31.0,1317,7.0,23.0,0.08,Mar 04,04-03-2020
Greece,1314,+102,49.0,+3,52.0,1213,72.0,126.0,5.0,Feb 25,25-02-2020
Panama,1181,+106,30.0,+3,9.0,1142,50.0,274.0,7.0,Mar 09,09-03-2020
Iceland,1135,+49,2.0,,198.0,935,11.0,3326.0,6.0,Feb 27,27-02-2020
Dominican Republic,1109,+208,51.0,+9,5.0,1053,,102.0,5.0,Feb 29,29-02-2020
Mexico,1094,+101,28.0,+8,35.0,1031,1.0,8.0,0.2,Feb 27,27-02-2020
Peru,1065,+115,30.0,+6,394.0,641,49.0,32.0,0.9,Mar 05,05-03-2020
Argentina,1054,+234,27.0,+4,240.0,787,,23.0,0.6,Mar 02,02-03-2020
Singapore,926,+47,3.0,,240.0,683,22.0,158.0,0.5,Jan 22,22-01-2020
Colombia,906,+108,16.0,+2,31.0,859,35.0,18.0,0.3,Mar 05,05-03-2020
Serbia,900,+115,23.0,+7,42.0,835,62.0,103.0,3.0,Mar 05,05-03-2020
Croatia,867,+77,6.0,,67.0,794,32.0,211.0,1.0,Feb 24,24-02-2020
Slovenia,802,+46,15.0,+4,10.0,777,24.0,386.0,7.0,Mar 03,03-03-2020
Qatar,781,+88,2.0,+1,62.0,717,6.0,271.0,0.7,Feb 28,28-02-2020
Estonia,745,+30,4.0,+1,26.0,715,13.0,562.0,3.0,Feb 26,26-02-2020
Algeria,716,+132,44.0,+9,46.0,626,,16.0,1.0,Feb 24,24-02-2020
Hong Kong,715,+32,4.0,,128.0,583,5.0,95.0,0.5,Jan 22,22-01-2020
Diamond Princess,712,,11.0,,603.0,98,15.0,,,Feb 04,04-02-2020
Egypt,710,+54,46.0,+5,157.0,507,,7.0,0.4,Feb 13,13-02-2020
Iraq,694,+64,50.0,+4,170.0,474,,17.0,1.0,Feb 21,21-02-2020
UAE,664,+53,6.0,+1,61.0,597,2.0,67.0,0.6,Jan 28,28-01-2020
New Zealand,647,+58,1.0,,74.0,572,2.0,134.0,0.2,Feb 27,27-02-2020
Ukraine,645,+97,17.0,+4,10.0,618,,15.0,0.4,Mar 02,02-03-2020
Morocco,617,+61,36.0,+3,24.0,557,1.0,17.0,1.0,Mar 01,01-03-2020
Bahrain,567,+52,4.0,,295.0,268,2.0,333.0,2.0,Feb 23,23-02-2020
Lithuania,537,+46,8.0,+1,7.0,522,27.0,197.0,3.0,Feb 27,27-02-2020
Armenia,532,+50,3.0,,30.0,499,30.0,180.0,1.0,Feb 29,29-02-2020
Hungary,492,+45,16.0,+1,37.0,439,6.0,51.0,2.0,Mar 03,03-03-2020
Lebanon,463,+17,12.0,+1,37.0,414,7.0,68.0,2.0,Feb 20,20-02-2020
Bosnia and Herzegovina,420,+52,13.0,+3,17.0,390,1.0,128.0,4.0,Mar 04,04-03-2020
Bulgaria,399,+40,8.0,,17.0,374,14.0,57.0,1.0,Mar 06,06-03-2020
Latvia,398,+22,,,1.0,397,3.0,211.0,,Mar 01,01-03-2020
Tunisia,394,+32,10.0,+1,3.0,381,10.0,33.0,0.8,Mar 01,01-03-2020
Andorra,376,+6,12.0,+4,10.0,354,12.0,4866.0,155.0,Mar 01,01-03-2020
Slovakia,363,+27,,,3.0,360,1.0,66.0,,Mar 05,05-03-2020
Moldova,353,+55,4.0,+2,18.0,331,44.0,88.0,1.0,Mar 06,06-03-2020
Costa Rica,347,+17,2.0,,4.0,341,8.0,68.0,0.4,Mar 04,04-03-2020
Kazakhstan,343,+41,2.0,+1,24.0,317,6.0,18.0,0.1,Mar 12,12-03-2020
Uruguay,338,+18,1.0,,41.0,296,12.0,97.0,0.3,Mar 12,12-03-2020
North Macedonia,329,+44,9.0,+2,12.0,308,4.0,158.0,4.0,Feb 25,25-02-2020
Taiwan,322,+16,5.0,,39.0,278,,14.0,0.2,Jan 20,20-01-2020
Azerbaijan,298,+25,5.0,+1,26.0,267,11.0,29.0,0.5,Feb 27,27-02-2020
Kuwait,289,+23,,,73.0,216,13.0,68.0,,Feb 23,23-02-2020
Jordan,274,+6,5.0,,30.0,239,5.0,27.0,0.5,Mar 01,01-03-2020
Cyprus,262,+32,8.0,+1,23.0,231,3.0,217.0,7.0,Mar 08,08-03-2020
Burkina Faso,261,+15,14.0,+2,32.0,215,,12.0,0.7,Mar 08,08-03-2020
Réunion,247,+23,,,1.0,246,4.0,276.0,,Mar 10,10-03-2020
Albania,243,+20,15.0,+4,52.0,176,8.0,84.0,5.0,Mar 07,07-03-2020
San Marino,236,+6,26.0,+1,13.0,197,16.0,6955.0,766.0,Feb 26,26-02-2020
Vietnam,212,+8,,,58.0,154,3.0,2.0,,Jan 22,22-01-2020
Cameroon,193,+54,6.0,,5.0,182,,7.0,0.2,Mar 05,05-03-2020
Oman,192,+13,1.0,+1,34.0,157,3.0,38.0,0.2,Feb 23,23-02-2020
Cuba,186,+16,6.0,+2,8.0,172,3.0,16.0,0.5,Mar 10,10-03-2020
Ivory Coast,179,+11,1.0,,7.0,171,,7.0,0.04,Mar 10,10-03-2020
Senegal,175,+13,,,40.0,135,,10.0,,Mar 01,01-03-2020
Afghanistan,174,+4,4.0,,5.0,165,,4.0,0.1,Feb 23,23-02-2020
Uzbekistan,172,+23,2.0,,7.0,163,8.0,5.0,0.06,Mar 14,14-03-2020
Faeroe Islands,169,+1,,,74.0,95,3.0,3459.0,,Mar 03,03-03-2020
Malta,169,+13,,,2.0,167,2.0,383.0,,Mar 06,06-03-2020
Ghana,161,+9,5.0,,31.0,125,1.0,5.0,0.2,Mar 11,11-03-2020
Belarus,152,,1.0,+1,47.0,104,2.0,16.0,0.1,Feb 27,27-02-2020
Mauritius,143,+15,5.0,+2,,138,1.0,112.0,4.0,Mar 17,17-03-2020
Sri Lanka,143,+21,2.0,,17.0,124,5.0,7.0,0.09,Jan 26,26-01-2020
Honduras,141,+2,7.0,,3.0,131,4.0,14.0,0.7,Mar 10,10-03-2020
Channel Islands,141,,3.0,+1,,138,,811.0,17.0,Mar 08,08-03-2020
Venezuela,135,,3.0,,39.0,93,6.0,5.0,0.1,Mar 12,12-03-2020
Nigeria,135,+4,2.0,,8.0,125,,0.7,0.01,Feb 27,27-02-2020
Brunei,129,+2,1.0,,45.0,83,3.0,295.0,2.0,Mar 08,08-03-2020
Martinique,128,+35,3.0,+2,27.0,98,15.0,341.0,8.0,Mar 04,04-03-2020
Palestine,119,+2,1.0,,18.0,100,,23.0,0.2,Mar 04,04-03-2020
Guadeloupe,114,+8,4.0,,22.0,88,14.0,285.0,10.0,Mar 12,12-03-2020
Georgia,110,+7,,,21.0,89,6.0,28.0,,Feb 25,25-02-2020
Montenegro,109,+18,2.0,+1,,107,1.0,174.0,3.0,Mar 16,16-03-2020
Cambodia,109,+2,,,23.0,86,1.0,7.0,,Jan 26,26-01-2020
Bolivia,107,+10,6.0,+2,,101,3.0,9.0,0.5,Mar 09,09-03-2020
Kyrgyzstan,107,+13,,,3.0,104,,16.0,,Mar 17,17-03-2020
DRC,98,+17,8.0,,2.0,88,,1.0,0.09,Mar 09,09-03-2020
Mayotte,94,+12,1.0,+1,10.0,83,3.0,345.0,4.0,Mar 13,13-03-2020
Trinidad and Tobago,87,+4,3.0,,1.0,83,,62.0,2.0,Mar 11,11-03-2020
Rwanda,75,+5,,,,75,,6.0,,Mar 13,13-03-2020
Gibraltar,69,,,,34.0,35,,2048.0,,Mar 02,02-03-2020
Liechtenstein,68,+6,,,,68,,1783.0,,Mar 02,02-03-2020
Paraguay,65,+1,3.0,,1.0,61,3.0,9.0,0.4,Mar 06,06-03-2020
Isle of Man,60,+11,,,,60,,706.0,,Mar 18,18-03-2020
Kenya,59,+9,1.0,,1.0,57,2.0,1.0,0.02,Mar 12,12-03-2020
Madagascar,57,+14,,,,57,6.0,2.0,,Mar 19,19-03-2020
Aruba,55,+5,,,1.0,54,,515.0,,Mar 12,12-03-2020
Monaco,52,+3,1.0,,2.0,49,,1325.0,25.0,Feb 27,27-02-2020
Bangladesh,51,+2,5.0,,25.0,21,1.0,0.3,0.03,Mar 07,07-03-2020
French Guiana,51,+8,,,15.0,36,,171.0,,Mar 06,06-03-2020
Uganda,44,+11,,,,44,,1.0,,Mar 20,20-03-2020
Macao,41,+3,,,10.0,31,,63.0,,Jan 21,21-01-2020
Jamaica,38,+2,2.0,+1,2.0,34,,13.0,0.7,Mar 09,09-03-2020
Guatemala,38,+2,1.0,,12.0,25,1.0,2.0,0.06,Mar 12,12-03-2020
French Polynesia,37,+1,,,,37,1.0,132.0,,Mar 10,10-03-2020
Zambia,36,+1,,,,36,,2.0,,Mar 17,17-03-2020
Niger,34,+7,3.0,,,31,,1.0,0.1,Mar 18,18-03-2020
Togo,34,+4,1.0,,10.0,23,,4.0,0.1,Mar 05,05-03-2020
Barbados,34,+1,,,,34,,118.0,,Mar 16,16-03-2020
El Salvador,32,+2,1.0,+1,,31,5.0,5.0,0.2,Mar 18,18-03-2020
Bermuda,32,+5,,,10.0,22,,514.0,,Mar 17,17-03-2020
Djibouti,30,+12,,,,30,,30.0,,Mar 17,17-03-2020
Mali,28,+3,2.0,,,26,,1.0,0.1,Mar 24,24-03-2020
Ethiopia,26,+3,,,2.0,24,2.0,0.2,,Mar 12,12-03-2020
Guinea,22,,,,,22,,2.0,,Mar 12,12-03-2020
Tanzania,19,,1.0,+1,1.0,17,,0.3,0.02,Mar 15,15-03-2020
Congo,19,,,,,19,,3.0,,Mar 14,14-03-2020
Maldives,18,+1,,,13.0,5,,33.0,,Mar 06,06-03-2020
Gabon,16,+9,1.0,,,15,,7.0,0.4,Mar 12,12-03-2020
New Caledonia,16,+1,,,,16,,56.0,,Mar 17,17-03-2020
Myanmar,15,+1,1.0,+1,,14,,0.3,0.02,Mar 22,22-03-2020
Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29,29-02-2020
Equatorial Guinea,15,+3,,,1.0,14,,11.0,,Mar 13,13-03-2020
Eritrea,15,,,,,15,,4.0,,Mar 20,20-03-2020
Haiti,15,,,,1.0,14,,1.0,,Mar 19,19-03-2020
Cayman Islands,14,+2,1.0,,,13,,213.0,15.0,Mar 12,12-03-2020
Bahamas,14,,,,1.0,13,,36.0,,Mar 14,14-03-2020
Saint Lucia,13,+4,,,1.0,12,,71.0,,Mar 12,12-03-2020
Guyana,12,+4,2.0,+1,,10,,15.0,3.0,Mar 11,11-03-2020
Dominica,12,,,,,12,,167.0,,Mar 21,21-03-2020
Mongolia,12,,,,2.0,10,,4.0,,Mar 09,09-03-2020
Curaçao,11,,1.0,,2.0,8,,67.0,6.0,Mar 12,12-03-2020
Namibia,11,,,,2.0,9,,4.0,,Mar 13,13-03-2020
Syria,10,,2.0,,,8,,0.6,0.1,Mar 21,21-03-2020
Greenland,10,,,,2.0,8,,176.0,,Mar 15,15-03-2020
Libya,10,+2,,,1.0,9,,1.0,,Mar 23,23-03-2020
Seychelles,10,+2,,,,10,,102.0,,Mar 13,13-03-2020
Benin,9,+3,,,1.0,8,,0.7,,Mar 15,15-03-2020
Grenada,9,,,,,9,,80.0,,Mar 21,21-03-2020
Laos,9,+1,,,,9,,1.0,,Mar 23,23-03-2020
Suriname,9,+1,,,,9,,15.0,,Mar 12,12-03-2020
Eswatini,9,,,,,9,,8.0,,Mar 13,13-03-2020
Zimbabwe,8,+1,1.0,,,7,,0.5,0.07,Mar 19,19-03-2020
Guinea-Bissau,8,,,,,8,,4.0,,Mar 24,24-03-2020
Mozambique,8,,,,,8,,0.3,,Mar 21,21-03-2020
Saint Kitts and Nevis,8,+1,,,,8,,150.0,,Mar 24,24-03-2020
Angola,7,,2.0,,1.0,4,,0.2,0.06,Mar 19,19-03-2020
Sudan,7,+1,2.0,,1.0,4,,0.2,0.05,Mar 12,12-03-2020
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12,12-03-2020
Chad,7,+2,,,,7,,0.4,,Mar 18,18-03-2020
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19,19-03-2020
Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12,12-03-2020
Vatican City,6,,,,,6,,7491.0,,Mar 05,05-03-2020
St. Barth,6,,,,1.0,5,,607.0,,Feb 29,29-02-2020
Sint Maarten,6,,,,,6,,140.0,,Mar 17,17-03-2020
Nicaragua,5,+1,1.0,,,4,,0.8,0.2,Mar 18,18-03-2020
Nepal,5,,,,1.0,4,,0.2,,Jan 23,23-01-2020
Fiji,5,,,,,5,,6.0,,Mar 18,18-03-2020
Montserrat,5,,,,,5,,1002.0,,Mar 17,17-03-2020
Somalia,5,+2,,,1.0,4,,0.3,,Mar 15,15-03-2020
Turks and Caicos,5,,,,,5,,129.0,,Mar 22,22-03-2020
Botswana,4,+1,1.0,+1,,3,,2.0,0.4,Mar 29,29-03-2020
Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16,16-03-2020
Bhutan,4,,,,,4,,5.0,,Mar 05,05-03-2020
Belize,3,,,,,3,,8.0,,Mar 22,22-03-2020
British Virgin Islands,3,+1,,,,3,,99.0,,Mar 24,24-03-2020
CAR,3,,,,,3,,0.6,,Mar 14,14-03-2020
Liberia,3,,,,,3,,0.6,,Mar 15,15-03-2020
MS Zaandam,2,,,,,2,,,,Mar 26,26-03-2020
Anguilla,2,,,,,2,,133.0,,Mar 25,25-03-2020
Burundi,2,+2,,,,2,,0.2,,Mar 30,30-03-2020
Papua New Guinea,1,,,,,1,,0.1,,Mar 19,19-03-2020
St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10,10-03-2020
Sierra Leone,1,+1,,,,1,,0.1,,Mar 30,30-03-2020
Timor-Leste,1,,,,,1,,0.8,,Mar 20,20-03-2020
Total:,858355,"+73,617",42309.0,"+4,535",178117.0,637929,32836.0,110.1,5.4,,
