"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,Primer caso
USA,212791,"+24,261",4759.0,+706,8805.0,199227,5005.0,643.0,14.0,Jan 20,20-01-2020
Italy,110574,"+4,782",13155.0,+727,16847.0,80572,4035.0,1829.0,218.0,Jan 29,29-01-2020
Spain,104118,"+8,195",9387.0,+923,22647.0,72084,5872.0,2227.0,201.0,Jan 30,30-01-2020
Germany,77921,"+6,113",925.0,+150,18700.0,58296,3408.0,930.0,11.0,Jan 26,26-01-2020
France,56989,"+4,861",4032.0,+509,10934.0,42023,6017.0,873.0,62.0,Jan 23,23-01-2020
Iran,47593,"+2,988",3036.0,+138,15473.0,29084,3871.0,567.0,36.0,Feb 18,18-02-2020
UK,29474,"+4,324",2352.0,+563,135.0,26987,163.0,434.0,35.0,Jan 30,30-01-2020
Switzerland,17768,"+1,163",488.0,+55,2967.0,14313,348.0,2053.0,56.0,Feb 24,24-02-2020
Turkey,15679,"+2,148",277.0,+63,333.0,15069,847.0,186.0,3.0,Mar 09,09-03-2020
Belgium,13964,"+1,189",828.0,+123,2132.0,11004,1088.0,1205.0,71.0,Feb 03,03-02-2020
Netherlands,13614,"+1,019",1173.0,+134,250.0,12191,1053.0,795.0,68.0,Feb 26,26-02-2020
Austria,10711,+531,146.0,+18,1436.0,9129,215.0,1189.0,16.0,Feb 24,24-02-2020
S. Korea,9887,+101,165.0,+3,5567.0,4155,55.0,193.0,3.0,Jan 19,19-01-2020
Canada,9677,"+1,065",114.0,+13,1736.0,7827,120.0,256.0,3.0,Jan 24,24-01-2020
Portugal,8251,+808,187.0,+27,43.0,8021,230.0,809.0,18.0,Mar 01,01-03-2020
Brazil,6836,"+1,119",240.0,+39,127.0,6469,296.0,32.0,1.0,Feb 24,24-02-2020
Israel,6092,+734,26.0,+6,241.0,5825,95.0,704.0,3.0,Feb 20,20-02-2020
Australia,4980,+217,22.0,+2,345.0,4613,50.0,195.0,0.9,Jan 24,24-01-2020
Sweden,4947,+512,239.0,+59,103.0,4605,393.0,490.0,24.0,Jan 30,30-01-2020
Norway,4877,+236,44.0,+5,13.0,4820,105.0,900.0,8.0,Feb 25,25-02-2020
Czechia,3508,+200,39.0,+8,61.0,3408,70.0,328.0,4.0,Feb 29,29-02-2020
Ireland,3447,+212,85.0,+14,5.0,3357,103.0,698.0,17.0,Feb 28,28-02-2020
Denmark,3107,+247,104.0,+14,894.0,2109,145.0,536.0,18.0,Feb 26,26-02-2020
Chile,3031,+293,16.0,+4,234.0,2781,31.0,159.0,0.8,Mar 02,02-03-2020
Malaysia,2908,+142,45.0,+2,645.0,2218,102.0,90.0,1.0,Jan 24,24-01-2020
Russia,2777,+440,24.0,+7,190.0,2563,8.0,19.0,0.2,Jan 30,30-01-2020
Ecuador,2748,+446,93.0,+14,58.0,2597,100.0,156.0,5.0,Feb 28,28-02-2020
Poland,2554,+243,43.0,+10,56.0,2455,50.0,67.0,1.0,Mar 03,03-03-2020
Romania,2460,+215,92.0,+10,252.0,2116,57.0,128.0,5.0,Feb 25,25-02-2020
Luxembourg,2319,+141,29.0,+6,80.0,2210,31.0,3705.0,46.0,Feb 28,28-02-2020
Philippines,2311,+227,96.0,+8,50.0,2165,1.0,21.0,0.9,Jan 29,29-01-2020
Japan,2178,,57.0,,472.0,1649,69.0,17.0,0.5,Jan 14,14-01-2020
Pakistan,2118,+180,27.0,+1,94.0,1997,12.0,10.0,0.1,Feb 25,25-02-2020
India,1998,+601,58.0,+23,148.0,1792,,1.0,0.04,Jan 29,29-01-2020
Thailand,1771,+120,12.0,+2,505.0,1254,23.0,25.0,0.2,Jan 12,12-01-2020
Saudi Arabia,1720,+157,16.0,+6,264.0,1440,31.0,49.0,0.5,Mar 01,01-03-2020
Indonesia,1677,+149,157.0,+21,103.0,1417,,6.0,0.6,Mar 01,01-03-2020
Finland,1446,+28,17.0,,10.0,1419,62.0,261.0,3.0,Jan 28,28-01-2020
Greece,1415,+101,50.0,+1,52.0,1313,90.0,136.0,5.0,Feb 25,25-02-2020
South Africa,1380,+27,5.0,,50.0,1325,7.0,23.0,0.08,Mar 04,04-03-2020
Peru,1323,+258,38.0,+8,394.0,891,49.0,40.0,1.0,Mar 05,05-03-2020
Dominican Republic,1284,+175,57.0,+6,9.0,1218,,118.0,5.0,Feb 29,29-02-2020
Iceland,1220,+85,2.0,,236.0,982,12.0,3575.0,6.0,Feb 27,27-02-2020
Mexico,1215,+121,29.0,+1,35.0,1151,1.0,9.0,0.2,Feb 27,27-02-2020
Panama,1181,,30.0,,9.0,1142,50.0,274.0,7.0,Mar 09,09-03-2020
Colombia,1065,+159,17.0,+1,39.0,1009,47.0,21.0,0.3,Mar 05,05-03-2020
Serbia,1060,+160,28.0,+5,42.0,990,62.0,121.0,3.0,Mar 05,05-03-2020
Argentina,1054,,28.0,+1,248.0,778,,23.0,0.6,Mar 02,02-03-2020
Singapore,1000,+74,3.0,,245.0,752,24.0,171.0,0.5,Jan 22,22-01-2020
Croatia,963,+96,6.0,,73.0,884,34.0,235.0,1.0,Feb 24,24-02-2020
Algeria,847,+131,58.0,+14,61.0,728,,19.0,1.0,Feb 24,24-02-2020
Slovenia,841,+39,15.0,,10.0,816,31.0,405.0,7.0,Mar 03,03-03-2020
Qatar,835,+54,2.0,,71.0,762,37.0,290.0,0.7,Feb 28,28-02-2020
UAE,814,+150,8.0,+2,61.0,745,2.0,82.0,0.8,Jan 28,28-01-2020
Ukraine,794,+149,20.0,+3,13.0,761,,18.0,0.5,Mar 02,02-03-2020
Egypt,779,+69,52.0,+6,179.0,548,,8.0,0.5,Feb 13,13-02-2020
Estonia,779,+34,5.0,+1,33.0,741,15.0,587.0,4.0,Feb 26,26-02-2020
Hong Kong,765,+50,4.0,,147.0,614,5.0,102.0,0.5,Jan 22,22-01-2020
Iraq,728,+34,52.0,+2,182.0,494,,18.0,1.0,Feb 21,21-02-2020
Diamond Princess,712,,11.0,,603.0,98,15.0,,,Feb 04,04-02-2020
New Zealand,708,+61,1.0,,83.0,624,2.0,147.0,0.2,Feb 27,27-02-2020
Morocco,654,+37,39.0,+3,29.0,586,1.0,18.0,1.0,Mar 01,01-03-2020
Lithuania,581,+44,8.0,,7.0,566,11.0,213.0,3.0,Feb 27,27-02-2020
Armenia,571,+39,4.0,+1,31.0,536,30.0,193.0,1.0,Feb 29,29-02-2020
Bahrain,569,+2,4.0,,337.0,228,3.0,334.0,2.0,Feb 23,23-02-2020
Hungary,525,+33,20.0,+4,40.0,465,17.0,54.0,2.0,Mar 03,03-03-2020
Lebanon,479,+16,14.0,+2,43.0,422,5.0,70.0,2.0,Feb 20,20-02-2020
Bosnia and Herzegovina,459,+39,13.0,,19.0,427,1.0,140.0,4.0,Mar 04,04-03-2020
Latvia,446,+48,,,1.0,445,3.0,236.0,,Mar 01,01-03-2020
Tunisia,423,+29,12.0,+2,5.0,406,10.0,36.0,1.0,Mar 01,01-03-2020
Moldova,423,+70,5.0,+1,23.0,395,44.0,105.0,1.0,Mar 06,06-03-2020
Bulgaria,422,+23,10.0,+2,20.0,392,18.0,61.0,1.0,Mar 06,06-03-2020
Slovakia,400,+37,1.0,+1,3.0,396,1.0,73.0,0.2,Mar 05,05-03-2020
Andorra,390,+14,14.0,+2,10.0,366,12.0,5048.0,181.0,Mar 01,01-03-2020
