"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,Primer caso
Kazakhstan,380,+37,3.0,+1,26.0,351,6.0,20.0,0.2,Mar 12,12-03-2020
Costa Rica,375,+28,2.0,,4.0,369,9.0,74.0,0.4,Mar 04,04-03-2020
Azerbaijan,359,+61,5.0,,26.0,328,7.0,35.0,0.5,Feb 27,27-02-2020
North Macedonia,354,+25,11.0,+2,17.0,326,4.0,170.0,5.0,Feb 25,25-02-2020
Uruguay,338,,2.0,+1,41.0,295,12.0,97.0,0.6,Mar 12,12-03-2020
Taiwan,329,+7,5.0,,45.0,279,,14.0,0.2,Jan 20,20-01-2020
Cyprus,320,+58,9.0,+1,28.0,283,11.0,265.0,7.0,Mar 08,08-03-2020
Kuwait,317,+28,,,80.0,237,14.0,74.0,,Feb 23,23-02-2020
Burkina Faso,282,+21,16.0,+2,46.0,220,,13.0,0.8,Mar 08,08-03-2020
Réunion,281,+34,,,40.0,241,3.0,314.0,,Mar 10,10-03-2020
Jordan,278,+4,5.0,,36.0,237,5.0,27.0,0.5,Mar 01,01-03-2020
Albania,259,+16,15.0,,67.0,177,7.0,90.0,5.0,Mar 07,07-03-2020
Afghanistan,237,+63,4.0,,5.0,228,,6.0,0.1,Feb 23,23-02-2020
San Marino,236,,26.0,,13.0,197,16.0,6955.0,766.0,Feb 26,26-02-2020
Cameroon,233,+40,6.0,,10.0,217,,9.0,0.2,Mar 05,05-03-2020
Vietnam,218,+6,,,63.0,155,3.0,2.0,,Jan 22,22-01-2020
Cuba,212,+26,6.0,,12.0,194,3.0,19.0,0.5,Mar 10,10-03-2020
Oman,210,+18,1.0,,34.0,175,3.0,41.0,0.2,Feb 23,23-02-2020
Ghana,195,+34,5.0,,31.0,159,1.0,6.0,0.2,Mar 11,11-03-2020
Ivory Coast,190,+11,1.0,,9.0,180,,7.0,0.04,Mar 10,10-03-2020
Senegal,190,+15,1.0,+1,45.0,144,,11.0,0.06,Mar 01,01-03-2020
Malta,188,+19,,,2.0,186,2.0,426.0,,Mar 06,06-03-2020
Uzbekistan,181,+9,2.0,,12.0,167,8.0,5.0,0.06,Mar 14,14-03-2020
Nigeria,174,+39,2.0,,9.0,163,,0.8,0.01,Feb 27,27-02-2020
Faeroe Islands,173,+4,,,75.0,98,1.0,3541.0,,Mar 03,03-03-2020
Honduras,172,+31,10.0,+3,3.0,159,4.0,17.0,1.0,Mar 10,10-03-2020
Channel Islands,172,+31,3.0,,,169,,989.0,17.0,Mar 08,08-03-2020
Belarus,163,+11,2.0,+1,53.0,108,2.0,17.0,0.2,Feb 27,27-02-2020
Mauritius,161,+18,6.0,+1,,155,1.0,127.0,5.0,Mar 17,17-03-2020
Sri Lanka,146,+3,3.0,+1,21.0,122,5.0,7.0,0.1,Jan 26,26-01-2020
Venezuela,143,+8,3.0,,41.0,99,6.0,5.0,0.1,Mar 12,12-03-2020
Martinique,135,+7,3.0,,27.0,105,16.0,360.0,8.0,Mar 04,04-03-2020
Palestine,134,+15,1.0,,18.0,115,,26.0,0.2,Mar 04,04-03-2020
Brunei,131,+2,1.0,,52.0,78,3.0,299.0,2.0,Mar 08,08-03-2020
Guadeloupe,125,+11,6.0,+2,24.0,95,14.0,312.0,15.0,Mar 12,12-03-2020
Montenegro,123,+14,2.0,,,121,4.0,196.0,3.0,Mar 16,16-03-2020
Georgia,117,+7,,,23.0,94,6.0,29.0,,Feb 25,25-02-2020
Bolivia,115,+8,7.0,+1,1.0,107,3.0,10.0,0.6,Mar 09,09-03-2020
Kyrgyzstan,111,+4,,,3.0,108,3.0,17.0,,Mar 17,17-03-2020
DRC,109,+11,9.0,+1,3.0,97,,1.0,0.1,Mar 09,09-03-2020
Cambodia,109,,,,25.0,84,1.0,7.0,,Jan 26,26-01-2020
Mayotte,101,+7,1.0,,10.0,90,3.0,370.0,4.0,Mar 13,13-03-2020
Trinidad and Tobago,90,+3,5.0,+2,1.0,84,,64.0,4.0,Mar 11,11-03-2020
Rwanda,82,+7,,,,82,,6.0,,Mar 13,13-03-2020
Kenya,81,+22,1.0,,3.0,77,2.0,2.0,0.02,Mar 12,12-03-2020
Gibraltar,81,+12,,,34.0,47,,2404.0,,Mar 02,02-03-2020
Niger,74,+40,5.0,+2,,69,,3.0,0.2,Mar 18,18-03-2020
Liechtenstein,72,+4,,,,72,,1888.0,,Mar 02,02-03-2020
Paraguay,69,+4,3.0,,1.0,65,4.0,10.0,0.4,Mar 06,06-03-2020
Isle of Man,68,+8,1.0,+1,,67,,800.0,12.0,Mar 18,18-03-2020
Madagascar,57,,,,,57,6.0,2.0,,Mar 19,19-03-2020
Monaco,55,+3,1.0,,2.0,52,2.0,1402.0,25.0,Feb 27,27-02-2020
Aruba,55,,,,1.0,54,,515.0,,Mar 12,12-03-2020
Bangladesh,54,+3,6.0,+1,25.0,23,1.0,0.3,0.04,Mar 07,07-03-2020
French Guiana,51,,,,15.0,36,,171.0,,Mar 06,06-03-2020
Jamaica,44,+6,3.0,+1,2.0,39,,15.0,1.0,Mar 09,09-03-2020
Uganda,44,,,,,44,,1.0,,Mar 20,20-03-2020
Macao,41,,,,10.0,31,,63.0,,Jan 21,21-01-2020
Guatemala,39,+1,1.0,,12.0,26,1.0,2.0,0.06,Mar 12,12-03-2020
French Polynesia,37,,,,,37,1.0,132.0,,Mar 10,10-03-2020
Togo,36,+2,2.0,+1,10.0,24,,4.0,0.2,Mar 05,05-03-2020
Zambia,36,,,,,36,,2.0,,Mar 17,17-03-2020
Barbados,34,,,,,34,,118.0,,Mar 16,16-03-2020
Djibouti,33,+3,,,,33,,33.0,,Mar 17,17-03-2020
El Salvador,32,,2.0,+1,,30,4.0,5.0,0.3,Mar 18,18-03-2020
Bermuda,32,,,,10.0,22,,514.0,,Mar 17,17-03-2020
Mali,31,+3,3.0,+1,,28,,2.0,0.1,Mar 24,24-03-2020
Guinea,30,+8,,,,30,,2.0,,Mar 12,12-03-2020
Ethiopia,29,+3,,,2.0,27,2.0,0.3,,Mar 12,12-03-2020
Congo,22,+3,2.0,+2,,20,,4.0,0.4,Mar 14,14-03-2020
Cayman Islands,22,+8,1.0,,,21,,335.0,15.0,Mar 12,12-03-2020
Bahamas,21,+7,1.0,+1,1.0,19,,53.0,3.0,Mar 14,14-03-2020
Tanzania,20,+1,1.0,,1.0,18,,0.3,0.02,Mar 15,15-03-2020
Guyana,19,+7,3.0,+1,,16,,24.0,4.0,Mar 11,11-03-2020
Maldives,19,+1,,,13.0,6,,35.0,,Mar 06,06-03-2020
Gabon,18,+2,1.0,,,17,,8.0,0.4,Mar 12,12-03-2020
Myanmar,16,+1,1.0,,,15,,0.3,0.02,Mar 22,22-03-2020
Sint Maarten,16,+10,1.0,+1,6.0,9,,373.0,23.0,Mar 17,17-03-2020
Haiti,16,+1,,,1.0,15,,1.0,,Mar 19,19-03-2020
New Caledonia,16,,,,,16,,56.0,,Mar 17,17-03-2020
Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29,29-02-2020
Equatorial Guinea,15,,,,1.0,14,,11.0,,Mar 13,13-03-2020
Eritrea,15,,,,,15,,4.0,,Mar 20,20-03-2020
Mongolia,14,+2,,,2.0,12,,4.0,,Mar 09,09-03-2020
Namibia,14,+3,,,2.0,12,,6.0,,Mar 13,13-03-2020
Benin,13,+4,,,1.0,12,,1.0,,Mar 15,15-03-2020
Saint Lucia,13,,,,1.0,12,,71.0,,Mar 12,12-03-2020
Dominica,12,,,,,12,,167.0,,Mar 21,21-03-2020
Curaçao,11,,1.0,,3.0,7,,67.0,6.0,Mar 12,12-03-2020
Syria,10,,2.0,,,8,,0.6,0.1,Mar 21,21-03-2020
Greenland,10,,,,2.0,8,,176.0,,Mar 15,15-03-2020
Laos,10,+1,,,,10,,1.0,,Mar 23,23-03-2020
Libya,10,,,,,10,,1.0,,Mar 23,23-03-2020
Mozambique,10,+2,,,,10,,0.3,,Mar 21,21-03-2020
Seychelles,10,,,,,10,,102.0,,Mar 13,13-03-2020
Suriname,10,+1,,,,10,,17.0,,Mar 12,12-03-2020
MS Zaandam,9,+7,2.0,+2,,7,,,,Mar 26,26-03-2020
Grenada,9,,,,,9,,80.0,,Mar 21,21-03-2020
Guinea-Bissau,9,+1,,,,9,,5.0,,Mar 24,24-03-2020
Eswatini,9,,,,,9,,8.0,,Mar 13,13-03-2020
Angola,8,+1,2.0,,1.0,5,,0.2,0.06,Mar 19,19-03-2020
Zimbabwe,8,,1.0,,,7,,0.5,0.07,Mar 19,19-03-2020
Saint Kitts and Nevis,8,,,,,8,,150.0,,Mar 24,24-03-2020
Sudan,7,,2.0,,2.0,3,,0.2,0.05,Mar 12,12-03-2020
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12,12-03-2020
Chad,7,,,,,7,,0.4,,Mar 18,18-03-2020
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19,19-03-2020
Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12,12-03-2020
Vatican City,6,,,,,6,,7491.0,,Mar 05,05-03-2020
Liberia,6,+3,,,,6,,1.0,,Mar 15,15-03-2020
St. Barth,6,,,,1.0,5,,607.0,,Feb 29,29-02-2020
Turks and Caicos,6,+1,,,,6,,155.0,,Mar 22,22-03-2020
Nicaragua,5,,1.0,,,4,,0.8,0.2,Mar 18,18-03-2020
Nepal,5,,,,1.0,4,,0.2,,Jan 23,23-01-2020
Fiji,5,,,,,5,,6.0,,Mar 18,18-03-2020
Montserrat,5,,,,,5,,1002.0,,Mar 17,17-03-2020
Somalia,5,,,,1.0,4,,0.3,,Mar 15,15-03-2020
Botswana,4,,1.0,,,3,,2.0,0.4,Mar 29,29-03-2020
Gambia,4,,1.0,,2.0,1,,2.0,0.4,Mar 16,16-03-2020
Bhutan,4,,,,,4,,5.0,,Mar 05,05-03-2020
Belize,3,,,,,3,,8.0,,Mar 22,22-03-2020
British Virgin Islands,3,,,,,3,,99.0,,Mar 24,24-03-2020
CAR,3,,,,,3,,0.6,,Mar 14,14-03-2020
Anguilla,2,,,,,2,,133.0,,Mar 25,25-03-2020
Burundi,2,,,,,2,,0.2,,Mar 30,30-03-2020
Caribbean Netherlands,2,+2,,,,2,,76.0,,Mar 31,31-03-2020
St. Vincent Grenadines,2,+1,,,1.0,1,,18.0,,Mar 10,10-03-2020
Sierra Leone,2,+1,,,,2,,0.3,,Mar 30,30-03-2020
Papua New Guinea,1,,,,,1,,0.1,,Mar 19,19-03-2020
Timor-Leste,1,,,,,1,,0.8,,Mar 20,20-03-2020
China,81554,,3312.0,,76238.0,2004,466.0,57.0,2.0,Jan 10,10-01-2020
Total:,932214,"+73,859",46826.0,"+4,517",193891.0,691497,35475.0,119.6,6.0,,
