Clasificacion,Nombre Local,Distribuición,Pagina Web
Frutas y verduras,Vasma Delivery,"Cerro Navia, El Bosque, Estación Central, Independencia, La Cisterna, La Florida, La Granja, La Pintana, La Reina, Las Condes, Lo Barnechea, Lo Prado, Macul, Ñuñoa, Pedro Aguirres Cerda, Peñalolén, Providencia, Quinta Normal, Recoleta, Renca, San Joaquín, San Ramon, Santiago Centro y Vitacura.",https://www.vasma.cl/
Frutas y verduras,Verdufresh,"Huechuraba, La Reina, Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.verdufresh.cl/
Pan,De Pura Madre,"Las Condes, Ñuñoa, Providencia y Vitacura",https://www.depuramadre.cl/
Pan,Fufu,A toda la Región Metropolitana,http://www.panaderiafufu.cl/
Pan,Las Rosas Chicas,"Las Condes, Lo Barnechea, Providencia y Vitacura",http://www.lasrosaschicas.cl/
Pan,Metissage Vitacura,"Huechuraba, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia, Recoleta, Santiago y Vitacrua",http://metissage.cl/
Pan,Pan Mostacho,A toda la Región Metropolitana,https://www.tienda.panmostacho.cl/pedir
Pan,Pan Semilla,"La Reina, Las Condes, Macul, Ñuñoa, Peñalolén, Providencia y Santiago",https://www.tienda.panmostacho.cl/pedir
Pan,Panadería El Araguaney,"Estación Central, Independencia, Ñuñoa, Providencia, Quinta Normal y Santiago",https://www.instagram.com/panaderiaraguaney/
Pan,Verdi Bakery,"Colina, Huechuraba, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Peñalolén, Providencia, Santiago y Vitacura.",https://www.verdibakery.cl/
Huevos,Avícola Puangue SpA.,"Las Condes, Lo Barnechea y Vitacura",https://www.facebook.com/Avicola-Puangue-883900288618197/
Huevos,El Wn de los Huevos,,https://www.instagram.com/elwndelos_huevos/
Huevos,En Casa,"Colina, Huechuraba, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia, Santiago y Vitacura",https://encasa.ecwid.com/Huevos-de-Campo-Saludables-p115232366
Huevos,Huevos de Color,A toda la Región Metropolitana,https://www.huevosdecolor.cl/
Huevos,Huevos La Castellana,A toda la Región Metropolitana,https://www.instagram.com/huevos_lacastellana
Huevos,La Huevería de Lagos,A toda la Región Metropolitana,https://www.instagram.com/la_hueveria_delagos/
Pollo,Granja Magdalena,"Colina, Huechuraba, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Peñalolén, Providencia, Santiago y Vitacura.",https://www.distribuidoramagdalena.cl/
Pollo,Tinajacura,"Huechuraba, La Florida, La Reina, Las Condes, Lo Barnechea, Macul, Ñuñoa, Providencia, Santiago y Vitacura",http://tiendaonline.tinajacura.com/collection/pollo-de-pradera-congelado
Pescados y mariscos,Antar Sea Food,"La Reina, Las Condes, Macul, Ñuñoa, Santiago y Vitacura",https://www.instagram.com/antarseafood/
Pescados y mariscos,Aquality Soluciones,"Colina, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Peñalolén, Providencia y Vitacura",https://www.instagram.com/aqualitysoluciones
Pescados y mariscos,Con Agallas,"La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia y Vitacura",https://www.conagallas.cl/
Pescados y mariscos,Del Muelle,"La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia y Vitacura",https://delmuelle.cl/
Pescados y mariscos,Fish Box,A toda la Región Metropolitana,https://fbx.cl/
