,Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,Tasa
43,Coquimbo,4.0,La Serena,4101.0,249656.0,0.0,0.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,18.0,7.2
44,Coquimbo,4.0,Los Vilos,4203.0,23374.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.3
45,Coquimbo,4.0,Monte Patria,4303.0,32527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Coquimbo,4.0,Ovalle,4301.0,121269.0,4.0,4.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.4
47,Coquimbo,4.0,Paiguano,4105.0,4675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Coquimbo,4.0,Punitaqui,4304.0,12165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.2
49,Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.9
50,Coquimbo,4.0,Salamanca,4204.0,29110.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,7.0,24.0
51,Coquimbo,4.0,Vicuna,4106.0,29741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Coquimbo,4.0,Total,,836096.0,27.0,30.0,35.0,51.0,56.0,61.0,66.0,66.0,68.0,75.0,79.0,9.4
53,,,,,,,,,,,,,,,,,
54,Valparaiso,5.0,Algarrobo,5602.0,15174.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,59.3
55,Valparaiso,5.0,Cabildo,5402.0,20663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,Valparaiso,5.0,Calera,5502.0,53591.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,11.0,13.0,16.0,22.0,41.1
57,Valparaiso,5.0,Calle Larga,5302.0,16482.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,6.0,36.4
58,Valparaiso,5.0,Cartagena,5603.0,25357.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,23.7
59,Valparaiso,5.0,Casablanca,5102.0,29170.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,10.3
60,Valparaiso,5.0,Catemu,5702.0,15213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Valparaiso,5.0,Concon,5103.0,45889.0,0.0,0.0,7.0,7.0,0.0,0.0,6.0,7.0,7.0,7.0,13.0,28.3
62,Valparaiso,5.0,El Quisco,5604.0,17742.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,8.0,11.0,62.0
63,Valparaiso,5.0,El Tabo,5605.0,14338.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,9.0,62.8
64,Valparaiso,5.0,Hijuelas,5503.0,19099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.2
65,Valparaiso,5.0,Isla de Pascua,5201.0,8277.0,0.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,60.4
66,Valparaiso,5.0,Juan Fernandez,5104.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Valparaiso,5.0,La Cruz,5504.0,25321.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,7.0,8.0,31.6
68,Valparaiso,5.0,La Ligua,5401.0,37739.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,5.3
69,Valparaiso,5.0,Limache,5802.0,49931.0,0.0,0.0,0.0,4.0,5.0,7.0,8.0,13.0,20.0,20.0,23.0,46.1
70,Valparaiso,5.0,Llaillay,5703.0,26533.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,7.5
71,Valparaiso,5.0,Los Andes,5301.0,68093.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,7.0,9.0,9.0,6.0,8.8
72,Valparaiso,5.0,Nogales,5506.0,23490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Valparaiso,5.0,Olmue,5803.0,19266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,10.4
74,Valparaiso,5.0,Panquehue,5704.0,7633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Valparaiso,5.0,Papudo,5403.0,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Valparaiso,5.0,Petorca,5404.0,10558.0,0.0,0.0,0.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,56.8
77,Valparaiso,5.0,Puchuncavi,5105.0,20071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
