ID,Nombre Español,Nombre Ingles,"WORLDM_Country,Other",ECDC_countriesAndTerritories,OURWORLD_Entity,JHONH_Country/Region,Early_COUNTRY,Tipo,Nombre común,"Estado
(forma oficial)",Forma de gobierno,Capital,Continente,Mapa Google,Wikipedia,MapUbicaciónWIKI,Noticias BING,Videos BING,deaths,casesECDC,deathsECDC,confirmadoOURWORLD,muertosOURWORLD,confirmadoJHON,muertosJHON,recuperadosJHON,activosJHON,confirmadoEarly,muertosEarly
11,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Estado Soberanos,Australia,Mancomunidad de Australia,Monarquía constitucional,Canberra,Oceanía,https://www.google.com/maps/place/Australia,https://es.wikipedia.org/wiki/Australia,https://commons.wikimedia.org/wiki/File:Australia_in_its_region.svg#/media/File:Australia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Australia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Australia&FORM=HDRSC4,19.0,4557.0,19.0,5224.0,23.0,5116.0,24.0,520.0,4572.0,5146.0,24.0
12,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Estado Soberanos,Austria,República de Austria,República parlamentaria,Viena,Europa,https://www.google.com/maps/place/Austria,https://es.wikipedia.org/wiki/Austria,https://commons.wikimedia.org/wiki/File:Austria_in_its_region.svg#/media/File:Austria_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Austria&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Austria&FORM=HDRSC4,108.0,9618.0,108.0,11129.0,158.0,11129.0,158.0,1749.0,9222.0,10967.0,158.0
13,Azerbaiyán,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,Estado Soberanos,Azerbaiyán,República de Azerbaiyán,República semipresidencialista,Bakú,Europa-Asia,https://www.google.com/maps/place/Azerbaiyán,https://es.wikipedia.org/wiki/Azerbaiyán,https://commons.wikimedia.org/wiki/File:Azerbaijan_in_its_region.svg#/media/File:Azerbaijan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Azerbaijan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Azerbaijan&FORM=HDRSC4,4.0,273.0,4.0,400.0,5.0,400.0,5.0,26.0,369.0,400.0,5.0
14,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Estado Soberanos,Bahamas,Mancomunidad de las Bahamas,Monarquía constitucional,Nasáu,América,https://www.google.com/maps/place/Bahamas,https://es.wikipedia.org/wiki/Bahamas,https://commons.wikimedia.org/wiki/File:Bahamas_in_its_region.svg#/media/File:Bahamas_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bahamas&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bahamas&FORM=HDRSC4,0.0,14.0,0.0,24.0,1.0,24.0,1.0,1.0,22.0,21.0,1.0
15,Bangladés,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Estado Soberanos,Bangladés,República Popular de Bangladés,República parlamentaria,Daca,Asia,https://www.google.com/maps/place/Bangladés,https://es.wikipedia.org/wiki/Bangladés,https://commons.wikimedia.org/wiki/File:Bangladesh_in_its_region.svg#/media/File:Bangladesh_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bangladesh&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bangladesh&FORM=HDRSC4,5.0,49.0,5.0,56.0,6.0,56.0,6.0,25.0,25.0,56.0,6.0
16,Barbados,Barbados,Barbados,Barbados,Barbados,Barbados,Barbados,Estado Soberanos,Barbados,Barbados,Monarquía constitucional,Bridgetown,América,https://www.google.com/maps/place/Barbados,https://es.wikipedia.org/wiki/Barbados,https://commons.wikimedia.org/wiki/File:Barbados_in_its_region.svg#/media/File:Barbados_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Barbados&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Barbados&FORM=HDRSC4,0.0,34.0,0.0,45.0,0.0,46.0,0.0,0.0,46.0,45.0,0.0
17,Baréin,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Bahrain,Estado Soberanos,Baréin,Reino de Baréin,Monarquía constitucional,Manama,Asia,https://www.google.com/maps/place/Baréin,https://es.wikipedia.org/wiki/Baréin,https://commons.wikimedia.org/wiki/File:Bahrain_in_its_region.svg#/media/File:Bahrain_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bahrain&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bahrain&FORM=HDRSC4,4.0,515.0,4.0,643.0,4.0,643.0,4.0,381.0,258.0,635.0,4.0
18,Bélgica,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Estado Soberanos,Bélgica,Reino de Bélgica,Monarquía parlamentaria,Bruselas,Europa,https://www.google.com/maps/place/Bélgica,https://es.wikipedia.org/wiki/Bélgica,https://commons.wikimedia.org/wiki/File:Belgium_in_its_region.svg#/media/File:Belgium_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Belgium&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Belgium&FORM=HDRSC4,513.0,11899.0,513.0,15348.0,1011.0,15348.0,1011.0,2495.0,11842.0,15348.0,1011.0
19,Belice,Belize,Belize,Belize,Belize,Belize,Belize,Estado Soberanos,Belice,Belice,Monarquía constitucional,Belmopán,América,https://www.google.com/maps/place/Belice,https://es.wikipedia.org/wiki/Belice,https://commons.wikimedia.org/wiki/File:Belize_in_its_region.svg#/media/File:Belize_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Belize&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Belize&FORM=HDRSC4,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
20,Bielorrusia / Belarús,Belarus,Belarus,Belarus,Belarus,Belarus,Belarus,Estado Soberanos,Bielorrusia / Belarús,República de Belarús,República presidencialista,Minsk,Europa,https://www.google.com/maps/place/Bielorrusia / Belarús,https://es.wikipedia.org/wiki/Bielorrusia / Belarús,https://commons.wikimedia.org/wiki/File:Belarus_in_its_region.svg#/media/File:Belarus_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Belarus&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Belarus&FORM=HDRSC4,0.0,105.0,0.0,254.0,4.0,304.0,4.0,53.0,247.0,163.0,2.0
21,Benín,Benin,Benin,Benin,Benin,Benin,Benin,Estado Soberanos,Benín,República de Benín,República presidencialista,Porto Novo​,África,https://www.google.com/maps/place/Benín,https://es.wikipedia.org/wiki/Benín,https://commons.wikimedia.org/wiki/File:Benin_in_its_region.svg#/media/File:Benin_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Benin&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Benin&FORM=HDRSC4,0.0,6.0,0.0,13.0,0.0,13.0,0.0,1.0,12.0,12.0,0.0
22,Birmania / Myanmar,Myanmar,Myanmar,Namibia,Myanmar,Burma,Myanmar,Estado Soberanos,Birmania / Myanmar,República de la Unión de Myanmar​,República parlamentaria,Naipyidó,Asia,https://www.google.com/maps/place/Birmania / Myanmar,https://es.wikipedia.org/wiki/Birmania / Myanmar,https://commons.wikimedia.org/wiki/File:Myanmar_in_its_region.svg#/media/File:Myanmar_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Myanmar&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Myanmar&FORM=HDRSC4,0.0,11.0,0.0,20.0,1.0,20.0,1.0,0.0,19.0,16.0,1.0
23,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Bolivia,Estado Soberanos,Bolivia,Estado Plurinacional de Bolivia,República presidencialista,Sucre​,América,https://www.google.com/maps/place/Bolivia,https://es.wikipedia.org/wiki/Bolivia,https://commons.wikimedia.org/wiki/File:Bolivia_in_its_region.svg#/media/File:Bolivia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bolivia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bolivia&FORM=HDRSC4,6.0,107.0,6.0,132.0,9.0,123.0,8.0,1.0,114.0,119.0,8.0
24,Bosnia y Herzegovina / Bosnia-Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia_and_Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Estado Soberanos,Bosnia y Herzegovina / Bosnia-Herzegovina,Bosnia y Herzegovina,República parlamentaria,Sarajevo,Europa,https://www.google.com/maps/place/Bosnia y Herzegovina / Bosnia-Herzegovina,https://es.wikipedia.org/wiki/Bosnia y Herzegovina / Bosnia-Herzegovina,https://commons.wikimedia.org/wiki/File:Bosnia and Herzegovina_in_its_region.svg#/media/File:Bosnia and Herzegovina_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bosnia and Herzegovina&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bosnia and Herzegovina&FORM=HDRSC4,8.0,353.0,8.0,532.0,17.0,533.0,16.0,20.0,497.0,492.0,14.0
25,Botsuana,Botswana,Botswana,Botswana,Botswana,Botswana,Botswana,Estado Soberanos,Botsuana,República de Botsuana,República parlamentaria,Gaborone,África,https://www.google.com/maps/place/Botsuana,https://es.wikipedia.org/wiki/Botsuana,https://commons.wikimedia.org/wiki/File:Botswana_in_its_region.svg#/media/File:Botswana_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Botswana&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Botswana&FORM=HDRSC4,,,,4.0,1.0,4.0,1.0,0.0,3.0,4.0,1.0
26,Brasil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Estado Soberanos,Brasil,República Federativa del Brasil,República presidencialista,Brasilia,América,https://www.google.com/maps/place/Brasil,https://es.wikipedia.org/wiki/Brasil,https://commons.wikimedia.org/wiki/File:Brazil_in_its_region.svg#/media/File:Brazil_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Brazil&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Brazil&FORM=HDRSC4,159.0,4579.0,159.0,7910.0,299.0,8044.0,324.0,127.0,7593.0,6894.0,246.0
27,Brunéi,Brunei,Brunei,Brunei_Darussalam,Brunei,Brunei,Brunei,Estado Soberanos,Brunéi,Estado de Brunéi Darussalam,Monarquía absoluta,Bandar Seri Begawan,Asia,https://www.google.com/maps/place/Brunéi,https://es.wikipedia.org/wiki/Brunéi,https://commons.wikimedia.org/wiki/File:Brunei_in_its_region.svg#/media/File:Brunei_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Brunei&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Brunei&FORM=HDRSC4,1.0,127.0,1.0,133.0,1.0,133.0,1.0,56.0,76.0,,
28,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Estado Soberanos,Bulgaria,República de Bulgaria,República parlamentaria,Sofía,Europa,https://www.google.com/maps/place/Bulgaria,https://es.wikipedia.org/wiki/Bulgaria,https://commons.wikimedia.org/wiki/File:Bulgaria_in_its_region.svg#/media/File:Bulgaria_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bulgaria&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bulgaria&FORM=HDRSC4,8.0,359.0,8.0,457.0,10.0,457.0,10.0,25.0,422.0,449.0,13.0
29,Burkina Faso,Burkina Faso,Burkina Faso,Burkina_Faso,Burkina Faso,Burkina Faso,Burkina Faso,Estado Soberanos,Burkina Faso,Burkina Faso,República semipresidencialista,Uagadugú,África,https://www.google.com/maps/place/Burkina Faso,https://es.wikipedia.org/wiki/Burkina Faso,https://commons.wikimedia.org/wiki/File:Burkina Faso_in_its_region.svg#/media/File:Burkina Faso_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Burkina Faso&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Burkina Faso&FORM=HDRSC4,12.0,222.0,12.0,288.0,16.0,288.0,16.0,50.0,222.0,280.0,14.0
30,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Burundi,Estado Soberanos,Burundi,República de Burundi,República presidencialista,Gitega​,África,https://www.google.com/maps/place/Burundi,https://es.wikipedia.org/wiki/Burundi,https://commons.wikimedia.org/wiki/File:Burundi_in_its_region.svg#/media/File:Burundi_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Burundi&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Burundi&FORM=HDRSC4,,,,3.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0
31,Bután,Bhutan,Bhutan,Bhutan,Bhutan,Bhutan,Bhutan,Estado Soberanos,Bután,Reino de Bután,Monarquía constitucional,Timbu,Asia,https://www.google.com/maps/place/Bután,https://es.wikipedia.org/wiki/Bután,https://commons.wikimedia.org/wiki/File:Bhutan_in_its_region.svg#/media/File:Bhutan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Bhutan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Bhutan&FORM=HDRSC4,0.0,4.0,0.0,5.0,0.0,5.0,0.0,1.0,4.0,5.0,0.0
32,Cabo Verde,Cape Verde,Cabo Verde,Cape_Verde,Cape Verde,Cabo Verde,Cape Verde,Estado Soberanos,Cabo Verde,República de Cabo Verde,República semipresidencialista,Praia,África,https://www.google.com/maps/place/Cabo Verde,https://es.wikipedia.org/wiki/Cabo Verde,https://commons.wikimedia.org/wiki/File:Cape Verde_in_its_region.svg#/media/File:Cape Verde_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cape Verde&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cape Verde&FORM=HDRSC4,1.0,5.0,1.0,6.0,1.0,6.0,1.0,0.0,5.0,,
33,Camboya,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Cambodia,Estado Soberanos,Camboya,Reino de Camboya,Monarquía parlamentaria,Nom Pen,Asia,https://www.google.com/maps/place/Camboya,https://es.wikipedia.org/wiki/Camboya,https://commons.wikimedia.org/wiki/File:Cambodia_in_its_region.svg#/media/File:Cambodia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cambodia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cambodia&FORM=HDRSC4,0.0,109.0,0.0,114.0,0.0,110.0,0.0,34.0,76.0,110.0,0.0
34,Camerún,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Estado Soberanos,Camerún,República de Camerún,República presidencialista,Yaundé,África,https://www.google.com/maps/place/Camerún,https://es.wikipedia.org/wiki/Camerún,https://commons.wikimedia.org/wiki/File:Cameroon_in_its_region.svg#/media/File:Cameroon_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cameroon&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cameroon&FORM=HDRSC4,2.0,142.0,2.0,271.0,7.0,306.0,7.0,10.0,289.0,284.0,7.0
35,Canadá,Canada,Canada,Canada,Canada,Canada,Canada,Estado Soberanos,Canadá,Canadá,Monarquía constitucional,Ottawa,América,https://www.google.com/maps/place/Canadá,https://es.wikipedia.org/wiki/Canadá,https://commons.wikimedia.org/wiki/File:Canada_in_its_region.svg#/media/File:Canada_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Canada&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Canada&FORM=HDRSC4,89.0,7424.0,89.0,11268.0,138.0,11284.0,139.0,1735.0,0.0,9731.0,127.0
36,Catar,Qatar,Qatar,Qatar,Qatar,Qatar,Qatar,Estado Soberanos,Catar,Estado de Catar,Monarquía absoluta,Doha,Asia,https://www.google.com/maps/place/Catar,https://es.wikipedia.org/wiki/Catar,https://commons.wikimedia.org/wiki/File:Qatar_in_its_region.svg#/media/File:Qatar_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Qatar&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Qatar&FORM=HDRSC4,1.0,693.0,1.0,949.0,3.0,949.0,3.0,72.0,874.0,385.0,2.0
37,República Centroafricana,Central African Republic,CAR,Central_African_Republic,Central African Republic,Central African Republic,Central African Republic,Estado Soberanos,República Centroafricana,República Centroafricana,República semipresidencialista,Bangui,África,https://www.google.com/maps/place/República Centroafricana,https://es.wikipedia.org/wiki/República Centroafricana,https://commons.wikimedia.org/wiki/File:Central African Republic_in_its_region.svg#/media/File:Central African Republic_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Central African Republic&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Central African Republic&FORM=HDRSC4,0.0,6.0,0.0,8.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0
38,Chad,Chad,Chad,Chad,Chad,Chad,Chad,Estado Soberanos,Chad,República del Chad,República presidencialista,Yamena,África,https://www.google.com/maps/place/Chad,https://es.wikipedia.org/wiki/Chad,https://commons.wikimedia.org/wiki/File:Chad_in_its_region.svg#/media/File:Chad_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Chad&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Chad&FORM=HDRSC4,0.0,7.0,0.0,7.0,0.0,8.0,0.0,0.0,8.0,7.0,0.0
39,República Checa / Chequia,Czech Republic,Czechia,Czech_Republic,Czech Republic,Czechia,Czech Republic,Estado Soberanos,República Checa / Chequia,República Checa,República parlamentaria,Praga,Europa,https://www.google.com/maps/place/República Checa / Chequia,https://es.wikipedia.org/wiki/República Checa / Chequia,https://commons.wikimedia.org/wiki/File:Czech Republic_in_its_region.svg#/media/File:Czech Republic_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Czech Republic&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Czech Republic&FORM=HDRSC4,24.0,3002.0,24.0,3858.0,44.0,3858.0,44.0,67.0,3747.0,3523.0,32.0
40,Chile,Chile,Chile,Chile,Chile,Chile,Chile,Estado Soberanos,Chile,República de Chile,República presidencialista,Santiago​,América,https://www.google.com/maps/place/Chile,https://es.wikipedia.org/wiki/Chile,https://commons.wikimedia.org/wiki/File:Chile_in_its_region.svg#/media/File:Chile_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Chile&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Chile&FORM=HDRSC4,8.0,2449.0,8.0,3404.0,18.0,3404.0,18.0,335.0,3051.0,3005.0,16.0
41,China,China,China,China,China,China,China,Estado Soberanos,China,República Popular China,Estado socialista unipartidista,Pekín,Asia,https://www.google.com/maps/place/China,https://es.wikipedia.org/wiki/China,https://commons.wikimedia.org/wiki/File:China_in_its_region.svg#/media/File:China_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +China&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +China&FORM=HDRSC4,3309.0,82241.0,3309.0,82465.0,3326.0,82432.0,3322.0,76565.0,2545.0,82772.0,3327.0
42,Chipre,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Cyprus,Estado Soberanos,Chipre,República de Chipre,República presidencialista,Nicosia,Europa-Asia,https://www.google.com/maps/place/Chipre,https://es.wikipedia.org/wiki/Chipre,https://commons.wikimedia.org/wiki/File:Cyprus_in_its_region.svg#/media/File:Cyprus_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Cyprus&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Cyprus&FORM=HDRSC4,7.0,230.0,7.0,356.0,9.0,356.0,10.0,28.0,318.0,320.0,9.0
