ID,Nombre Español,Nombre Ingles,"WORLDM_Country,Other",ECDC_countriesAndTerritories,OURWORLD_Entity,JHONH_Country/Region,Early_COUNTRY,Tipo,Nombre común,"Estado
(forma oficial)",Forma de gobierno,Capital,Continente,Mapa Google,Wikipedia,MapUbicaciónWIKI,Noticias BING,Videos BING,deaths,casesECDC,deathsECDC,confirmadoOURWORLD,muertosOURWORLD,confirmadoJHON,muertosJHON,recuperadosJHON,activosJHON,confirmadoEarly,muertosEarly
1,Afganistán,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Estado Soberanos,Afganistán,República Islámica de Afganistán,República islámica presidencialista,Kabul,Asia,https://www.google.com/maps/place/Afganistán,https://es.wikipedia.org/wiki/Afganistán,https://commons.wikimedia.org/wiki/File:Afghanistan_in_its_region.svg#/media/File:Afghanistan_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Afghanistan&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Afghanistan&FORM=HDRSC4,4.0,141.0,4.0,235.0,4.0,273.0,6.0,10.0,257.0,241.0,4.0
2,Albania,Albania,Albania,Albania,Albania,Albania,Albania,Estado Soberanos,Albania,República de Albania,República parlamentaria,Tirana,Europa,https://www.google.com/maps/place/Albania,https://es.wikipedia.org/wiki/Albania,https://commons.wikimedia.org/wiki/File:Albania_in_its_region.svg#/media/File:Albania_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Albania&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Albania&FORM=HDRSC4,12.0,223.0,12.0,277.0,16.0,277.0,16.0,76.0,185.0,277.0,15.0
3,Alemania,Germany,Germany,Ghana,Germany,Germany,Germany,Estado Soberanos,Alemania,República Federal de Alemania,República parlamentaria,Berlín,Europa,https://www.google.com/maps/place/Alemania,https://es.wikipedia.org/wiki/Alemania,https://commons.wikimedia.org/wiki/File:Germany_in_its_region.svg#/media/File:Germany_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Germany&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Germany&FORM=HDRSC4,5.0,152.0,5.0,73522.0,872.0,84794.0,1107.0,22440.0,61247.0,84264.0,1073.0
4,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Andorra,Estado Soberanos,Andorra,Principado de Andorra,Monarquía constitucional,Andorra la Vieja,Europa,https://www.google.com/maps/place/Andorra,https://es.wikipedia.org/wiki/Andorra,https://commons.wikimedia.org/wiki/File:Andorra_in_its_region.svg#/media/File:Andorra_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Andorra&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Andorra&FORM=HDRSC4,8.0,370.0,8.0,428.0,15.0,428.0,15.0,10.0,403.0,428.0,15.0
5,Angola,Angola,Angola,Angola,Angola,Angola,Angola,Estado Soberanos,Angola,República de Angola,República presidencialista,Luanda,África,https://www.google.com/maps/place/Angola,https://es.wikipedia.org/wiki/Angola,https://commons.wikimedia.org/wiki/File:Angola_in_its_region.svg#/media/File:Angola_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Angola&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Angola&FORM=HDRSC4,2.0,7.0,2.0,8.0,2.0,8.0,2.0,1.0,5.0,7.0,2.0
6,Antigua y Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua_and_Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Estado Soberanos,Antigua y Barbuda,Antigua y Barbuda,Monarquía constitucional,Saint John,América,https://www.google.com/maps/place/Antigua y Barbuda,https://es.wikipedia.org/wiki/Antigua y Barbuda,https://commons.wikimedia.org/wiki/File:Antigua and Barbuda_in_its_region.svg#/media/File:Antigua and Barbuda_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Antigua and Barbuda&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Antigua and Barbuda&FORM=HDRSC4,0.0,7.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,8.0,0.0
7,Arabia Saudita / Arabia Saudí,Saudi Arabia,Saudi Arabia,Saudi_Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Estado Soberanos,Arabia Saudita / Arabia Saudí,Reino de Arabia Saudita,Monarquía absoluta,Riad,Asia,https://www.google.com/maps/place/Arabia Saudita / Arabia Saudí,https://es.wikipedia.org/wiki/Arabia Saudita / Arabia Saudí,https://commons.wikimedia.org/wiki/File:Saudi Arabia_in_its_region.svg#/media/File:Saudi Arabia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Saudi Arabia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Saudi Arabia&FORM=HDRSC4,8.0,1453.0,8.0,1885.0,21.0,1885.0,21.0,328.0,1536.0,1720.0,16.0
8,Argelia,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Estado Soberanos,Argelia,República Argelina Democrática y Popular,República semipresidencialista,Argel,África,https://www.google.com/maps/place/Argelia,https://es.wikipedia.org/wiki/Argelia,https://commons.wikimedia.org/wiki/File:Algeria_in_its_region.svg#/media/File:Algeria_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Algeria&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Algeria&FORM=HDRSC4,31.0,511.0,31.0,847.0,58.0,986.0,86.0,61.0,839.0,847.0,58.0
9,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Estado Soberanos,Argentina,República Argentina,República presidencialista,Buenos Aires,América,https://www.google.com/maps/place/Argentina,https://es.wikipedia.org/wiki/Argentina,https://commons.wikimedia.org/wiki/File:Argentina_in_its_region.svg#/media/File:Argentina_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Argentina&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Argentina&FORM=HDRSC4,24.0,966.0,24.0,1133.0,34.0,1133.0,36.0,256.0,841.0,1133.0,33.0
10,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Armenia,Estado Soberanos,Armenia,República de Armenia,República parlamentaria,Ereván,Europa-Asia,https://www.google.com/maps/place/Armenia,https://es.wikipedia.org/wiki/Armenia,https://commons.wikimedia.org/wiki/File:Armenia_in_its_region.svg#/media/File:Armenia_in_its_region.svg,https://www.bing.com/news/search?q=covid-19 + coronavirus +Armenia&FORM=HDRSC4,https://www.bing.com/videos/search?q=covid-19 + coronavirus +Armenia&FORM=HDRSC4,3.0,482.0,3.0,663.0,4.0,663.0,7.0,33.0,623.0,663.0,6.0
