Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados,Fecha
Metropolitana,13,Estacion Central,13106,206792.0,16.0,30-03-2020
Metropolitana,13,Huechuraba,13107,112528.0,17.0,30-03-2020
Metropolitana,13,Independencia,13108,142065.0,15.0,30-03-2020
Metropolitana,13,Isla de Maipo,13603,40171.0,0.0,30-03-2020
Metropolitana,13,La Cisterna,13109,100434.0,10.0,30-03-2020
Metropolitana,13,La Florida,13110,402433.0,43.0,30-03-2020
Metropolitana,13,La Granja,13111,122557.0,5.0,30-03-2020
Metropolitana,13,La Pintana,13112,189335.0,0.0,30-03-2020
Metropolitana,13,La Reina,13113,100252.0,24.0,30-03-2020
Metropolitana,13,Lampa,13302,126898.0,10.0,30-03-2020
Metropolitana,13,Las Condes,13114,330759.0,181.0,30-03-2020
Metropolitana,13,Lo Barnechea,13115,124076.0,68.0,30-03-2020
Metropolitana,13,Lo Espejo,13116,103865.0,4.0,30-03-2020
Metropolitana,13,Lo Prado,13117,104403.0,14.0,30-03-2020
Metropolitana,13,Macul,13118,134635.0,10.0,30-03-2020
Metropolitana,13,Maipu,13119,578605.0,43.0,30-03-2020
Metropolitana,13,Maria Pinto,13504,14926.0,0.0,30-03-2020
Metropolitana,13,Melipilla,13501,141612.0,6.0,30-03-2020
Metropolitana,13,Nunoa,13120,250192.0,67.0,30-03-2020
Metropolitana,13,Padre Hurtado,13604,74188.0,10.0,30-03-2020
Metropolitana,13,Paine,13404,82766.0,0.0,30-03-2020
Metropolitana,13,Pedro Aguirre Cerda,13121,107803.0,7.0,30-03-2020
Metropolitana,13,Penaflor,13605,101058.0,10.0,30-03-2020
Metropolitana,13,Penalolen,13122,266798.0,31.0,30-03-2020
Metropolitana,13,Pirque,13202,30433.0,0.0,30-03-2020
Metropolitana,13,Providencia,13123,157749.0,82.0,30-03-2020
Metropolitana,13,Pudahuel,13124,253139.0,17.0,30-03-2020
Metropolitana,13,Puente Alto,13201,645909.0,45.0,30-03-2020
Metropolitana,13,Quilicura,13125,254694.0,17.0,30-03-2020
Metropolitana,13,Quinta Normal,13126,136368.0,21.0,30-03-2020
Metropolitana,13,Recoleta,13127,190075.0,17.0,30-03-2020
Metropolitana,13,Renca,13128,160847.0,9.0,30-03-2020
Metropolitana,13,San Bernardo,13401,334836.0,32.0,30-03-2020
Metropolitana,13,San Joaquin,13129,103485.0,13.0,30-03-2020
Metropolitana,13,San Jose de Maipo,13203,18644.0,0.0,30-03-2020
Metropolitana,13,San Miguel,13130,133059.0,25.0,30-03-2020
Metropolitana,13,San Pedro,13505,11953.0,0.0,30-03-2020
Metropolitana,13,San Ramon,13131,86510.0,0.0,30-03-2020
Metropolitana,13,Santiago,13101,503147.0,127.0,30-03-2020
Metropolitana,13,Talagante,13601,81838.0,0.0,30-03-2020
Metropolitana,13,Tiltil,13303,21477.0,0.0,30-03-2020
Metropolitana,13,Vitacura,13132,96774.0,83.0,30-03-2020
O’Higgins,6,Chepica,6302,15925.0,0.0,30-03-2020
O’Higgins,6,Chimbarongo,6303,37696.0,0.0,30-03-2020
O’Higgins,6,Codegua,6102,14096.0,0.0,30-03-2020
O’Higgins,6,Coinco,6103,7831.0,0.0,30-03-2020
O’Higgins,6,Coltauco,6104,21263.0,0.0,30-03-2020
O’Higgins,6,Donihue,6105,22700.0,0.0,30-03-2020
O’Higgins,6,Graneros,6106,36504.0,0.0,30-03-2020
O’Higgins,6,La Estrella,6202,3114.0,0.0,30-03-2020
O’Higgins,6,Las Cabras,6107,26749.0,0.0,30-03-2020
O’Higgins,6,Litueche,6203,6765.0,0.0,30-03-2020
O’Higgins,6,Lolol,6304,7289.0,0.0,30-03-2020
O’Higgins,6,Machali,6108,59913.0,0.0,30-03-2020
O’Higgins,6,Malloa,6109,14163.0,0.0,30-03-2020
O’Higgins,6,Marchihue,6204,7632.0,0.0,30-03-2020
O’Higgins,6,Mostazal,6110,27462.0,0.0,30-03-2020
O’Higgins,6,Nancagua,6305,19141.0,0.0,30-03-2020
