Region,Comuna,Poblacion,Fecha
Arica y Parinacota,Arica,247552,15101.0
Arica y Parinacota,Arica,247552,247552
Arica y Parinacota,Arica,247552,6
Arica y Parinacota,Arica,247552,6
Arica y Parinacota,Arica,247552,12
Arica y Parinacota,Arica,247552,41
Arica y Parinacota,Arica,247552,63
Arica y Parinacota,Arica,247552,87
Arica y Parinacota,Arica,247552,115
Arica y Parinacota,Arica,247552,46.5
Arica y Parinacota,Camarones,1233,15102.0
Arica y Parinacota,Camarones,1233,1233
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,Camarones,1233,0.0
Arica y Parinacota,General Lagos,810,15202.0
Arica y Parinacota,General Lagos,810,810
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,General Lagos,810,0.0
Arica y Parinacota,Putre,2515,15201.0
Arica y Parinacota,Putre,2515,2515
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,-
Arica y Parinacota,Putre,2515,0.0
Tarapaca,Alto Hospicio,129999,1107.0
Tarapaca,Alto Hospicio,129999,129999
Tarapaca,Alto Hospicio,129999,-
Tarapaca,Alto Hospicio,129999,-
Tarapaca,Alto Hospicio,129999,-
Tarapaca,Alto Hospicio,129999,5
Tarapaca,Alto Hospicio,129999,6
Tarapaca,Alto Hospicio,129999,10
Tarapaca,Alto Hospicio,129999,14
Tarapaca,Alto Hospicio,129999,10.8
Tarapaca,Camina,1375,1402.0
Tarapaca,Camina,1375,1375
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,-
Tarapaca,Camina,1375,0.0
Tarapaca,Colchane,1583,1403.0
Tarapaca,Colchane,1583,1583
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,-
Tarapaca,Colchane,1583,0.0
Tarapaca,Huara,3000,1404.0
Tarapaca,Huara,3000,3000
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,-
Tarapaca,Huara,3000,0.0
Tarapaca,Iquique,223463,1101.0
Tarapaca,Iquique,223463,223463
Tarapaca,Iquique,223463,5
Tarapaca,Iquique,223463,9
Tarapaca,Iquique,223463,10
Tarapaca,Iquique,223463,13
Tarapaca,Iquique,223463,16
Tarapaca,Iquique,223463,18
Tarapaca,Iquique,223463,26
Tarapaca,Iquique,223463,11.6
Tarapaca,Pica,5958,1405.0
Tarapaca,Pica,5958,5958
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,-
Tarapaca,Pica,5958,5
Tarapaca,Pica,5958,10
Tarapaca,Pica,5958,167.8
Tarapaca,Pozo Almonte,17395,1401.0
Tarapaca,Pozo Almonte,17395,17395
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,-
Tarapaca,Pozo Almonte,17395,2
Tarapaca,Pozo Almonte,17395,11.5
Antofagasta,Antofagasta,425725,2101.0
Antofagasta,Antofagasta,425725,425725
Antofagasta,Antofagasta,425725,29
Antofagasta,Antofagasta,425725,32
Antofagasta,Antofagasta,425725,44
Antofagasta,Antofagasta,425725,54
Antofagasta,Antofagasta,425725,60
Antofagasta,Antofagasta,425725,82
Antofagasta,Antofagasta,425725,106
Antofagasta,Antofagasta,425725,24.9
Antofagasta,Calama,190336,2201.0
Antofagasta,Calama,190336,190336
Antofagasta,Calama,190336,-
Antofagasta,Calama,190336,-
Antofagasta,Calama,190336,5
Antofagasta,Calama,190336,7
Antofagasta,Calama,190336,8
Antofagasta,Calama,190336,13
Antofagasta,Calama,190336,20
Antofagasta,Calama,190336,10.5
Antofagasta,Maria Elena,6814,2302.0
Antofagasta,Maria Elena,6814,6814
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,-
Antofagasta,Maria Elena,6814,1
Antofagasta,Maria Elena,6814,14.7
Antofagasta,Mejillones,14776,2102.0
Antofagasta,Mejillones,14776,14776
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,-
Antofagasta,Mejillones,14776,6
Antofagasta,Mejillones,14776,12
Antofagasta,Mejillones,14776,81.2
Antofagasta,Ollague,287,2202.0
Antofagasta,Ollague,287,287
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,-
Antofagasta,Ollague,287,0.0
Antofagasta,San Pedro de Atacama,10434,2203.0
Antofagasta,San Pedro de Atacama,10434,10434
Antofagasta,San Pedro de Atacama,10434,-
Antofagasta,San Pedro de Atacama,10434,-
Antofagasta,San Pedro de Atacama,10434,-
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,San Pedro de Atacama,10434,38.3
Antofagasta,Sierra Gorda,1746,2103.0
Antofagasta,Sierra Gorda,1746,1746
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Sierra Gorda,1746,0.0
Antofagasta,Taltal,13657,2104.0
Antofagasta,Taltal,13657,13657
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,-
Antofagasta,Taltal,13657,3
Antofagasta,Taltal,13657,22.0
Antofagasta,Tocopilla,28079,2301.0
Antofagasta,Tocopilla,28079,28079
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,-
Antofagasta,Tocopilla,28079,3
Antofagasta,Tocopilla,28079,10.7
Atacama,Alto del Carmen,5729,3302.0
Atacama,Alto del Carmen,5729,5729
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,-
Atacama,Alto del Carmen,5729,0.0
Atacama,Caldera,19426,3102.0
Atacama,Caldera,19426,19426
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,-
Atacama,Caldera,19426,0.0
Atacama,Chanaral,13164,3201.0
Atacama,Chanaral,13164,13164
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,-
Atacama,Chanaral,13164,0.0
Atacama,Copiapo,171766,3101.0
Atacama,Copiapo,171766,171766
Atacama,Copiapo,171766,-
Atacama,Copiapo,171766,-
Atacama,Copiapo,171766,4
Atacama,Copiapo,171766,4
Atacama,Copiapo,171766,5
Atacama,Copiapo,171766,8
Atacama,Copiapo,171766,8
Atacama,Copiapo,171766,4.7
Atacama,Diego de Almagro,14358,3202.0
Atacama,Diego de Almagro,14358,14358
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,-
Atacama,Diego de Almagro,14358,1
Atacama,Diego de Almagro,14358,7.0
Atacama,Freirina,7681,3303.0
Atacama,Freirina,7681,7681
Atacama,Freirina,7681,-
Atacama,Freirina,7681,-
Atacama,Freirina,7681,-
Atacama,Freirina,7681,-
Atacama,Freirina,7681,-
Atacama,Freirina,7681,-
Atacama,Freirina,7681,-
Atacama,Freirina,7681,0.0
Atacama,Huasco,11264,3304.0
Atacama,Huasco,11264,11264
Atacama,Huasco,11264,-
Atacama,Huasco,11264,-
Atacama,Huasco,11264,-
Atacama,Huasco,11264,-
Atacama,Huasco,11264,-
Atacama,Huasco,11264,-
Atacama,Huasco,11264,-
Atacama,Huasco,11264,0.0
Atacama,Tierra Amarilla,14312,3103.0
Atacama,Tierra Amarilla,14312,14312
Atacama,Tierra Amarilla,14312,-
Atacama,Tierra Amarilla,14312,-
Atacama,Tierra Amarilla,14312,-
Atacama,Tierra Amarilla,14312,-
Atacama,Tierra Amarilla,14312,-
Atacama,Tierra Amarilla,14312,4
Atacama,Tierra Amarilla,14312,4
Atacama,Tierra Amarilla,14312,27.9
Atacama,Vallenar,57009,3301.0
Atacama,Vallenar,57009,57009
Atacama,Vallenar,57009,-
Atacama,Vallenar,57009,-
Atacama,Vallenar,57009,-
Atacama,Vallenar,57009,-
Atacama,Vallenar,57009,-
Atacama,Vallenar,57009,-
Atacama,Vallenar,57009,-
Atacama,Vallenar,57009,0.0
Coquimbo,Andacollo,11791,4103.0
Coquimbo,Andacollo,11791,11791
Coquimbo,Andacollo,11791,-
Coquimbo,Andacollo,11791,-
Coquimbo,Andacollo,11791,-
Coquimbo,Andacollo,11791,-
Coquimbo,Andacollo,11791,-
Coquimbo,Andacollo,11791,-
Coquimbo,Andacollo,11791,-
Coquimbo,Andacollo,11791,0.0
Coquimbo,Canela,9546,4202.0
Coquimbo,Canela,9546,9546
Coquimbo,Canela,9546,-
Coquimbo,Canela,9546,-
Coquimbo,Canela,9546,-
Coquimbo,Canela,9546,-
Coquimbo,Canela,9546,-
Coquimbo,Canela,9546,-
Coquimbo,Canela,9546,-
Coquimbo,Canela,9546,0.0
Coquimbo,Combarbala,13884,4302.0
Coquimbo,Combarbala,13884,13884
Coquimbo,Combarbala,13884,-
Coquimbo,Combarbala,13884,-
Coquimbo,Combarbala,13884,-
Coquimbo,Combarbala,13884,-
Coquimbo,Combarbala,13884,-
Coquimbo,Combarbala,13884,-
Coquimbo,Combarbala,13884,-
Coquimbo,Combarbala,13884,0.0
Coquimbo,Coquimbo,256735,4102.0
Coquimbo,Coquimbo,256735,256735
Coquimbo,Coquimbo,256735,17
Coquimbo,Coquimbo,256735,19
Coquimbo,Coquimbo,256735,19
Coquimbo,Coquimbo,256735,19
Coquimbo,Coquimbo,256735,19
Coquimbo,Coquimbo,256735,21
Coquimbo,Coquimbo,256735,21
Coquimbo,Coquimbo,256735,8.2
Coquimbo,Illapel,32801,4201.0
Coquimbo,Illapel,32801,32801
Coquimbo,Illapel,32801,-
Coquimbo,Illapel,32801,-
Coquimbo,Illapel,32801,-
Coquimbo,Illapel,32801,7
Coquimbo,Illapel,32801,12
Coquimbo,Illapel,32801,13
Coquimbo,Illapel,32801,17
Coquimbo,Illapel,32801,51.8
Coquimbo,La Higuera,4450,4104.0
Coquimbo,La Higuera,4450,4450
Coquimbo,La Higuera,4450,-
Coquimbo,La Higuera,4450,-
Coquimbo,La Higuera,4450,-
Coquimbo,La Higuera,4450,-
Coquimbo,La Higuera,4450,-
Coquimbo,La Higuera,4450,-
Coquimbo,La Higuera,4450,-
Coquimbo,La Higuera,4450,0.0
Coquimbo,La Serena,249656,4101.0
Coquimbo,La Serena,249656,249656
Coquimbo,La Serena,249656,-
Coquimbo,La Serena,249656,-
Coquimbo,La Serena,249656,8
Coquimbo,La Serena,249656,12
Coquimbo,La Serena,249656,12
Coquimbo,La Serena,249656,12
Coquimbo,La Serena,249656,12
Coquimbo,La Serena,249656,4.8
Coquimbo,Los Vilos,23374,4203.0
Coquimbo,Los Vilos,23374,23374
Coquimbo,Los Vilos,23374,-
Coquimbo,Los Vilos,23374,-
Coquimbo,Los Vilos,23374,-
Coquimbo,Los Vilos,23374,-
Coquimbo,Los Vilos,23374,-
Coquimbo,Los Vilos,23374,-
Coquimbo,Los Vilos,23374,1
Coquimbo,Los Vilos,23374,4.3
Coquimbo,Monte Patria,32527,4303.0
Coquimbo,Monte Patria,32527,32527
Coquimbo,Monte Patria,32527,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Monte Patria,32527,0.0
Coquimbo,Ovalle,121269,4301.0
Coquimbo,Ovalle,121269,121269
Coquimbo,Ovalle,121269,4
Coquimbo,Ovalle,121269,4
Coquimbo,Ovalle,121269,4
Coquimbo,Ovalle,121269,7
Coquimbo,Ovalle,121269,7
Coquimbo,Ovalle,121269,8
Coquimbo,Ovalle,121269,8
Coquimbo,Ovalle,121269,6.6
Coquimbo,Paiguano,4675,4105.0
Coquimbo,Paiguano,4675,4675
Coquimbo,Paiguano,4675,-
Coquimbo,Paiguano,4675,-
Coquimbo,Paiguano,4675,-
Coquimbo,Paiguano,4675,-
Coquimbo,Paiguano,4675,-
Coquimbo,Paiguano,4675,-
Coquimbo,Paiguano,4675,-
Coquimbo,Paiguano,4675,0.0
Coquimbo,Punitaqui,12165,4304.0
Coquimbo,Punitaqui,12165,12165
Coquimbo,Punitaqui,12165,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Punitaqui,12165,0.0
Coquimbo,Rio Hurtado,4372,4305.0
Coquimbo,Rio Hurtado,4372,4372
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Rio Hurtado,4372,1
Coquimbo,Rio Hurtado,4372,22.9
Coquimbo,Salamanca,29110,4204.0
Coquimbo,Salamanca,29110,29110
Coquimbo,Salamanca,29110,-
Coquimbo,Salamanca,29110,-
Coquimbo,Salamanca,29110,-
Coquimbo,Salamanca,29110,4
Coquimbo,Salamanca,29110,4
Coquimbo,Salamanca,29110,5
Coquimbo,Salamanca,29110,6
Coquimbo,Salamanca,29110,20.6
Coquimbo,Vicuna,29741,4106.0
Coquimbo,Vicuna,29741,29741
Coquimbo,Vicuna,29741,-
Coquimbo,Vicuna,29741,-
Coquimbo,Vicuna,29741,-
Coquimbo,Vicuna,29741,-
Coquimbo,Vicuna,29741,-
Coquimbo,Vicuna,29741,-
Coquimbo,Vicuna,29741,-
Coquimbo,Vicuna,29741,0.0
Valparaiso,Algarrobo,15174,5602.0
Valparaiso,Algarrobo,15174,15174
Valparaiso,Algarrobo,15174,7
Valparaiso,Algarrobo,15174,7
Valparaiso,Algarrobo,15174,9
Valparaiso,Algarrobo,15174,9
Valparaiso,Algarrobo,15174,8
Valparaiso,Algarrobo,15174,8
Valparaiso,Algarrobo,15174,8
Valparaiso,Algarrobo,15174,52.7
Valparaiso,Cabildo,20663,5402.0
Valparaiso,Cabildo,20663,20663
Valparaiso,Cabildo,20663,-
Valparaiso,Cabildo,20663,-
Valparaiso,Cabildo,20663,-
Valparaiso,Cabildo,20663,-
Valparaiso,Cabildo,20663,-
Valparaiso,Cabildo,20663,-
Valparaiso,Cabildo,20663,-
