Region,Comuna,Poblacion,Tasa,Fecha
Arica y Parinacota,Arica,247552.0,90.5,15101.0
Arica y Parinacota,Arica,247552.0,90.5,247552.0
Arica y Parinacota,Arica,247552.0,90.5,6.0
Arica y Parinacota,Arica,247552.0,90.5,6.0
Arica y Parinacota,Arica,247552.0,90.5,12.0
Arica y Parinacota,Arica,247552.0,90.5,41.0
Arica y Parinacota,Arica,247552.0,90.5,63.0
Arica y Parinacota,Arica,247552.0,90.5,87.0
Arica y Parinacota,Arica,247552.0,90.5,115.0
Arica y Parinacota,Arica,247552.0,90.5,124.0
Arica y Parinacota,Arica,247552.0,90.5,134.0
Arica y Parinacota,Arica,247552.0,90.5,166.0
Arica y Parinacota,Arica,247552.0,90.5,224.0
Arica y Parinacota,Camarones,1233.0,0.0,15102.0
Arica y Parinacota,Camarones,1233.0,0.0,1233.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,Camarones,1233.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,15202.0
Arica y Parinacota,General Lagos,810.0,0.0,810.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
Arica y Parinacota,General Lagos,810.0,0.0,0.0
