Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
Arica y Parinacota,15.0,Arica,15101.0,247552.0,6,6,12,41,63,87,115,124,50.1
Arica y Parinacota,15.0,Camarones,15102.0,1233.0,-,-,-,-,-,-,-,-,0.0
Arica y Parinacota,15.0,General Lagos,15202.0,810.0,-,-,-,-,-,-,-,-,0.0
Arica y Parinacota,15.0,Putre,15201.0,2515.0,-,-,-,-,-,-,-,-,0.0
Arica y Parinacota,15.0,Total,,252110.0,6,6,12,41,63,87,115,124,49.2
,,,,,,,,,,,,,
Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,-,-,-,5,6,10,14,15,11.5
Tarapaca,1.0,Camina,1402.0,1375.0,-,-,-,-,-,-,-,-,0.0
Tarapaca,1.0,Colchane,1403.0,1583.0,-,-,-,-,-,-,-,-,0.0
Tarapaca,1.0,Huara,1404.0,3000.0,-,-,-,-,-,-,-,-,0.0
Tarapaca,1.0,Iquique,1101.0,223463.0,5,9,10,13,16,18,26,26,11.6
Tarapaca,1.0,Pica,1405.0,5958.0,-,-,-,-,-,5,10,19,318.9
Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,-,-,-,-,-,-,2,2,11.5
Tarapaca,1.0,Total,,382773.0,5,10,13,21,26,35,52,62,16.2
,,,,,,,,,,,,,
Antofagasta,2.0,Antofagasta,2101.0,425725.0,29,32,44,54,60,82,106,122,28.7
Antofagasta,2.0,Calama,2201.0,190336.0,-,-,5,7,8,13,20,21,11.0
Antofagasta,2.0,Maria Elena,2302.0,6814.0,-,-,-,-,-,-,1,2,29.4
Antofagasta,2.0,Mejillones,2102.0,14776.0,-,-,-,-,-,6,12,14,94.7
Antofagasta,2.0,Ollague,2202.0,287.0,-,-,-,-,-,-,-,-,0.0
Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,-,-,-,4,4,4,4,4,38.3
Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,-,-,-,-,-,-,-,-,0.0
Antofagasta,2.0,Taltal,2104.0,13657.0,-,-,-,-,-,-,3,7,51.3
Antofagasta,2.0,Tocopilla,2301.0,28079.0,-,-,-,-,-,-,3,6,21.4
Antofagasta,2.0,Total,,691854.0,35,39,54,68,77,110,149,176,25.4
,,,,,,,,,,,,,
Atacama,3.0,Alto del Carmen,3302.0,5729.0,-,-,-,-,-,-,-,-,0.0
Atacama,3.0,Caldera,3102.0,19426.0,-,-,-,-,-,-,-,-,0.0
Atacama,3.0,Chanaral,3201.0,13164.0,-,-,-,-,-,-,-,-,0.0
Atacama,3.0,Copiapo,3101.0,171766.0,-,-,4,4,5,8,8,8,4.7
Atacama,3.0,Diego de Almagro,3202.0,14358.0,-,-,-,-,-,-,1,1,7.0
Atacama,3.0,Freirina,3303.0,7681.0,-,-,-,-,-,-,-,-,0.0
Atacama,3.0,Huasco,3304.0,11264.0,-,-,-,-,-,-,-,-,0.0
Atacama,3.0,Tierra Amarilla,3103.0,14312.0,-,-,-,-,-,4,4,4,27.9
Atacama,3.0,Vallenar,3301.0,57009.0,-,-,-,-,-,-,-,-,0.0
Atacama,3.0,Total,,314709.0,2,3,5,5,8,13,13,13,4.1
,,,,,,,,,,,,,
Coquimbo,4.0,Andacollo,4103.0,11791.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,Canela,4202.0,9546.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,Combarbala,4302.0,13884.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,Coquimbo,4102.0,256735.0,17,19,19,19,19,21,21,19,7.4
Coquimbo,4.0,Illapel,4201.0,32801.0,-,-,-,7,12,13,17,19,57.9
Coquimbo,4.0,La Higuera,4104.0,4450.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,La Serena,4101.0,249656.0,-,-,8,12,12,12,12,12,4.8
Coquimbo,4.0,Los Vilos,4203.0,23374.0,-,-,-,-,-,-,1,1,4.3
Coquimbo,4.0,Monte Patria,4303.0,32527.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,Ovalle,4301.0,121269.0,4,4,4,7,7,8,8,8,6.6
Coquimbo,4.0,Paiguano,4105.0,4675.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,Punitaqui,4304.0,12165.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,-,-,-,-,-,-,1,1,22.9
Coquimbo,4.0,Salamanca,4204.0,29110.0,-,-,-,4,4,5,6,6,20.6
Coquimbo,4.0,Vicuna,4106.0,29741.0,-,-,-,-,-,-,-,-,0.0
Coquimbo,4.0,Total,,836096.0,27,30,35,51,56,61,66,66,7.9
,,,,,,,,,,,,,
Valparaiso,5.0,Algarrobo,5602.0,15174.0,7,7,9,9,8,8,8,9,59.3
Valparaiso,5.0,Cabildo,5402.0,20663.0,-,-,-,-,-,-,-,-,0.0
Valparaiso,5.0,Calera,5502.0,53591.0,6,6,7,7,9,9,9,11,20.5
Valparaiso,5.0,Calle Larga,5302.0,16482.0,-,-,-,-,-,-,2,2,12.1
Valparaiso,5.0,Cartagena,5603.0,25357.0,-,-,-,-,-,-,2,2,7.9
Valparaiso,5.0,Casablanca,5102.0,29170.0,-,-,-,-,-,-,3,3,10.3
Valparaiso,5.0,Catemu,5702.0,15213.0,-,-,-,-,-,-,-,-,0.0
