,Grupo de edad,Sexo,fecha,Cantidad
0,00 - 04 años,M,2020-04-06,11
1,00 - 04 años,M,2020-04-08,18
2,00 - 04 años,M,2020-04-10,30
3,00 - 04 años,M,2020-04-13,38
4,00 - 04 años,M,2020-04-15,46
5,05 - 09 años,M,2020-04-06,13
6,05 - 09 años,M,2020-04-08,17
7,05 - 09 años,M,2020-04-10,20
8,05 - 09 años,M,2020-04-13,27
9,05 - 09 años,M,2020-04-15,32
10,10 - 14 años,M,2020-04-06,23
11,10 - 14 años,M,2020-04-08,31
12,10 - 14 años,M,2020-04-10,37
13,10 - 14 años,M,2020-04-13,51
14,10 - 14 años,M,2020-04-15,57
15,15 - 19 años,M,2020-04-06,50
16,15 - 19 años,M,2020-04-08,56
17,15 - 19 años,M,2020-04-10,65
18,15 - 19 años,M,2020-04-13,77
19,15 - 19 años,M,2020-04-15,86
20,20 - 24 años,M,2020-04-06,138
21,20 - 24 años,M,2020-04-08,175
22,20 - 24 años,M,2020-04-10,209
23,20 - 24 años,M,2020-04-13,252
24,20 - 24 años,M,2020-04-15,290
25,25 - 29 años,M,2020-04-06,252
26,25 - 29 años,M,2020-04-08,312
27,25 - 29 años,M,2020-04-10,366
28,25 - 29 años,M,2020-04-13,434
29,25 - 29 años,M,2020-04-15,486
30,30 - 34 años,M,2020-04-06,295
31,30 - 34 años,M,2020-04-08,353
32,30 - 34 años,M,2020-04-10,405
33,30 - 34 años,M,2020-04-13,469
34,30 - 34 años,M,2020-04-15,526
35,35 - 39 años,M,2020-04-06,263
36,35 - 39 años,M,2020-04-08,324
37,35 - 39 años,M,2020-04-10,372
38,35 - 39 años,M,2020-04-13,423
39,35 - 39 años,M,2020-04-15,461
40,40 - 44 años,M,2020-04-06,234
41,40 - 44 años,M,2020-04-08,284
42,40 - 44 años,M,2020-04-10,327
43,40 - 44 años,M,2020-04-13,387
44,40 - 44 años,M,2020-04-15,415
45,45 - 49 años,M,2020-04-06,221
46,45 - 49 años,M,2020-04-08,274
47,45 - 49 años,M,2020-04-10,303
48,45 - 49 años,M,2020-04-13,357
49,45 - 49 años,M,2020-04-15,386
50,50 - 54 años,M,2020-04-06,180
51,50 - 54 años,M,2020-04-08,220
52,50 - 54 años,M,2020-04-10,259
53,50 - 54 años,M,2020-04-13,308
54,50 - 54 años,M,2020-04-15,337
55,55 - 59 años,M,2020-04-06,159
56,55 - 59 años,M,2020-04-08,197
57,55 - 59 años,M,2020-04-10,232
58,55 - 59 años,M,2020-04-13,268
59,55 - 59 años,M,2020-04-15,295
60,60 - 64 años,M,2020-04-06,115
61,60 - 64 años,M,2020-04-08,145
62,60 - 64 años,M,2020-04-10,171
63,60 - 64 años,M,2020-04-13,201
64,60 - 64 años,M,2020-04-15,224
65,65 - 69 años,M,2020-04-06,82
66,65 - 69 años,M,2020-04-08,101
67,65 - 69 años,M,2020-04-10,119
68,65 - 69 años,M,2020-04-13,135
69,65 - 69 años,M,2020-04-15,151
70,70 - 74 años,M,2020-04-06,67
71,70 - 74 años,M,2020-04-08,86
72,70 - 74 años,M,2020-04-10,100
73,70 - 74 años,M,2020-04-13,112
74,70 - 74 años,M,2020-04-15,127
75,75 - 79 años,M,2020-04-06,48
76,75 - 79 años,M,2020-04-08,60
77,75 - 79 años,M,2020-04-10,70
78,75 - 79 años,M,2020-04-13,80
79,75 - 79 años,M,2020-04-15,88
80,80 y más años,M,2020-04-06,40
81,80 y más años,M,2020-04-08,54
82,80 y más años,M,2020-04-10,65
83,80 y más años,M,2020-04-13,80
84,80 y más años,M,2020-04-15,92
85,00 - 04 años,F,2020-04-06,15
86,00 - 04 años,F,2020-04-08,21
87,00 - 04 años,F,2020-04-10,30
88,00 - 04 años,F,2020-04-13,39
89,00 - 04 años,F,2020-04-15,46
90,05 - 09 años,F,2020-04-06,16
91,05 - 09 años,F,2020-04-08,23
92,05 - 09 años,F,2020-04-10,31
93,05 - 09 años,F,2020-04-13,37
94,05 - 09 años,F,2020-04-15,40
95,10 - 14 años,F,2020-04-06,23
96,10 - 14 años,F,2020-04-08,34
97,10 - 14 años,F,2020-04-10,39
98,10 - 14 años,F,2020-04-13,48
99,10 - 14 años,F,2020-04-15,50
100,15 - 19 años,F,2020-04-06,56
101,15 - 19 años,F,2020-04-08,78
102,15 - 19 años,F,2020-04-10,89
103,15 - 19 años,F,2020-04-13,108
104,15 - 19 años,F,2020-04-15,121
105,20 - 24 años,F,2020-04-06,144
106,20 - 24 años,F,2020-04-08,177
107,20 - 24 años,F,2020-04-10,217
108,20 - 24 años,F,2020-04-13,253
109,20 - 24 años,F,2020-04-15,284
110,25 - 29 años,F,2020-04-06,281
111,25 - 29 años,F,2020-04-08,344
112,25 - 29 años,F,2020-04-10,403
113,25 - 29 años,F,2020-04-13,477
114,25 - 29 años,F,2020-04-15,518
115,30 - 34 años,F,2020-04-06,297
116,30 - 34 años,F,2020-04-08,357
117,30 - 34 años,F,2020-04-10,413
118,30 - 34 años,F,2020-04-13,494
119,30 - 34 años,F,2020-04-15,550
120,35 - 39 años,F,2020-04-06,263
121,35 - 39 años,F,2020-04-08,316
122,35 - 39 años,F,2020-04-10,358
123,35 - 39 años,F,2020-04-13,419
124,35 - 39 años,F,2020-04-15,459
125,40 - 44 años,F,2020-04-06,217
126,40 - 44 años,F,2020-04-08,272
127,40 - 44 años,F,2020-04-10,314
128,40 - 44 años,F,2020-04-13,369
129,40 - 44 años,F,2020-04-15,414
130,45 - 49 años,F,2020-04-06,204
131,45 - 49 años,F,2020-04-08,249
132,45 - 49 años,F,2020-04-10,283
133,45 - 49 años,F,2020-04-13,338
134,45 - 49 años,F,2020-04-15,367
135,50 - 54 años,F,2020-04-06,180
136,50 - 54 años,F,2020-04-08,237
137,50 - 54 años,F,2020-04-10,271
138,50 - 54 años,F,2020-04-13,315
139,50 - 54 años,F,2020-04-15,336
140,55 - 59 años,F,2020-04-06,143
141,55 - 59 años,F,2020-04-08,185
142,55 - 59 años,F,2020-04-10,213
143,55 - 59 años,F,2020-04-13,243
144,55 - 59 años,F,2020-04-15,283
145,60 - 64 años,F,2020-04-06,113
146,60 - 64 años,F,2020-04-08,138
147,60 - 64 años,F,2020-04-10,155
148,60 - 64 años,F,2020-04-13,188
149,60 - 64 años,F,2020-04-15,211
150,65 - 69 años,F,2020-04-06,67
151,65 - 69 años,F,2020-04-08,84
152,65 - 69 años,F,2020-04-10,99
153,65 - 69 años,F,2020-04-13,119
154,65 - 69 años,F,2020-04-15,140
155,70 - 74 años,F,2020-04-06,58
156,70 - 74 años,F,2020-04-08,69
157,70 - 74 años,F,2020-04-10,82
158,70 - 74 años,F,2020-04-13,95
159,70 - 74 años,F,2020-04-15,110
160,75 - 79 años,F,2020-04-06,41
161,75 - 79 años,F,2020-04-08,48
162,75 - 79 años,F,2020-04-10,57
163,75 - 79 años,F,2020-04-13,64
164,75 - 79 años,F,2020-04-15,71
165,80 y más años,F,2020-04-06,37
166,80 y más años,F,2020-04-08,58
167,80 y más años,F,2020-04-10,88
168,80 y más años,F,2020-04-13,107
169,80 y más años,F,2020-04-15,117
