,Grupo de edad,fecha,Cantidad
0,<=39,2020-04-09,2
1,<=39,2020-04-10,2
2,<=39,2020-04-11,3
3,<=39,2020-04-12,3
4,<=39,2020-04-13,3
5,<=39,2020-04-14,3
6,<=39,2020-04-15,3
7,<=39,2020-04-16,3
8,<=39,2020-04-17,4
9,40-49,2020-04-09,1
10,40-49,2020-04-10,2
11,40-49,2020-04-11,2
12,40-49,2020-04-12,2
13,40-49,2020-04-13,2
14,40-49,2020-04-14,2
15,40-49,2020-04-15,2
16,40-49,2020-04-16,2
17,40-49,2020-04-17,2
18,50-59,2020-04-09,1
19,50-59,2020-04-10,2
20,50-59,2020-04-11,2
21,50-59,2020-04-12,3
22,50-59,2020-04-13,3
23,50-59,2020-04-14,5
24,50-59,2020-04-15,5
25,50-59,2020-04-16,6
26,50-59,2020-04-17,8
27,60-69,2020-04-09,9
28,60-69,2020-04-10,10
29,60-69,2020-04-11,12
30,60-69,2020-04-12,12
31,60-69,2020-04-13,12
32,60-69,2020-04-14,12
33,60-69,2020-04-15,12
34,60-69,2020-04-16,14
35,60-69,2020-04-17,16
36,70-79,2020-04-09,21
37,70-79,2020-04-10,22
38,70-79,2020-04-11,24
39,70-79,2020-04-12,28
40,70-79,2020-04-13,29
41,70-79,2020-04-14,30
42,70-79,2020-04-15,31
43,70-79,2020-04-16,32
44,70-79,2020-04-17,36
45,80-89,2020-04-09,19
46,80-89,2020-04-10,21
47,80-89,2020-04-11,24
48,80-89,2020-04-12,25
49,80-89,2020-04-13,26
50,80-89,2020-04-14,32
51,80-89,2020-04-15,33
52,80-89,2020-04-16,38
53,80-89,2020-04-17,40
54,>=90,2020-04-09,4
55,>=90,2020-04-10,6
56,>=90,2020-04-11,6
57,>=90,2020-04-12,7
58,>=90,2020-04-13,7
59,>=90,2020-04-14,8
60,>=90,2020-04-15,8
61,>=90,2020-04-16,10
62,>=90,2020-04-17,10
