,Region,Codigo region,Comuna,Codigo comuna,Poblacion,fecha,Cantidad
0,Arica y Parinacota,15.0,Arica,15101.0,247552.0,2020-04-13,88.0
1,Arica y Parinacota,15.0,Arica,15101.0,247552.0,2020-04-15,80.0
2,Arica y Parinacota,15.0,Camarones,15102.0,1233.0,2020-04-13,0.0
3,Arica y Parinacota,15.0,Camarones,15102.0,1233.0,2020-04-15,0.0
4,Arica y Parinacota,15.0,General Lagos,15202.0,810.0,2020-04-13,0.0
5,Arica y Parinacota,15.0,General Lagos,15202.0,810.0,2020-04-15,0.0
6,Arica y Parinacota,15.0,Putre,15201.0,2515.0,2020-04-13,0.0
7,Arica y Parinacota,15.0,Putre,15201.0,2515.0,2020-04-15,0.0
8,Arica y Parinacota,15.0,Total,,252110.0,2020-04-13,88.0
9,Arica y Parinacota,15.0,Total,,252110.0,2020-04-15,80.0
10,,,,,,2020-04-13,
11,,,,,,2020-04-15,
12,Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,2020-04-13,8.0
13,Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,2020-04-15,8.0
14,Tarapaca,1.0,Camina,1402.0,1375.0,2020-04-13,0.0
15,Tarapaca,1.0,Camina,1402.0,1375.0,2020-04-15,0.0
16,Tarapaca,1.0,Colchane,1403.0,1583.0,2020-04-13,0.0
17,Tarapaca,1.0,Colchane,1403.0,1583.0,2020-04-15,0.0
18,Tarapaca,1.0,Huara,1404.0,3000.0,2020-04-13,0.0
19,Tarapaca,1.0,Huara,1404.0,3000.0,2020-04-15,0.0
20,Tarapaca,1.0,Iquique,1101.0,223463.0,2020-04-13,11.0
21,Tarapaca,1.0,Iquique,1101.0,223463.0,2020-04-15,8.0
22,Tarapaca,1.0,Pica,1405.0,5958.0,2020-04-13,9.0
23,Tarapaca,1.0,Pica,1405.0,5958.0,2020-04-15,17.0
24,Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,2020-04-13,2.0
25,Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,2020-04-15,2.0
26,Tarapaca,1.0,Total,,382773.0,2020-04-13,30.0
27,Tarapaca,1.0,Total,,382773.0,2020-04-15,35.0
28,,,,,,2020-04-13,
29,,,,,,2020-04-15,
30,Antofagasta,2.0,Antofagasta,2101.0,425725.0,2020-04-13,49.0
31,Antofagasta,2.0,Antofagasta,2101.0,425725.0,2020-04-15,54.0
32,Antofagasta,2.0,Calama,2201.0,190336.0,2020-04-13,12.0
33,Antofagasta,2.0,Calama,2201.0,190336.0,2020-04-15,11.0
34,Antofagasta,2.0,Maria Elena,2302.0,6814.0,2020-04-13,1.0
35,Antofagasta,2.0,Maria Elena,2302.0,6814.0,2020-04-15,2.0
36,Antofagasta,2.0,Mejillones,2102.0,14776.0,2020-04-13,11.0
37,Antofagasta,2.0,Mejillones,2102.0,14776.0,2020-04-15,13.0
38,Antofagasta,2.0,Ollague,2202.0,287.0,2020-04-13,0.0
39,Antofagasta,2.0,Ollague,2202.0,287.0,2020-04-15,0.0
40,Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,2020-04-13,1.0
41,Antofagasta,2.0,San Pedro de Atacama,2203.0,10434.0,2020-04-15,0.0
42,Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,2020-04-13,0.0
43,Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,2020-04-15,0.0
44,Antofagasta,2.0,Taltal,2104.0,13657.0,2020-04-13,3.0
45,Antofagasta,2.0,Taltal,2104.0,13657.0,2020-04-15,5.0
46,Antofagasta,2.0,Tocopilla,2301.0,28079.0,2020-04-13,1.0
47,Antofagasta,2.0,Tocopilla,2301.0,28079.0,2020-04-15,3.0
48,Antofagasta,2.0,Total,,691854.0,2020-04-13,78.0
49,Antofagasta,2.0,Total,,691854.0,2020-04-15,88.0
50,,,,,,2020-04-13,
51,,,,,,2020-04-15,
52,Atacama,3.0,Alto del Carmen,3302.0,5729.0,2020-04-13,0.0
53,Atacama,3.0,Alto del Carmen,3302.0,5729.0,2020-04-15,0.0
54,Atacama,3.0,Caldera,3102.0,19426.0,2020-04-13,0.0
55,Atacama,3.0,Caldera,3102.0,19426.0,2020-04-15,0.0
56,Atacama,3.0,Chanaral,3201.0,13164.0,2020-04-13,0.0
57,Atacama,3.0,Chanaral,3201.0,13164.0,2020-04-15,0.0
58,Atacama,3.0,Copiapo,3101.0,171766.0,2020-04-13,5.0
59,Atacama,3.0,Copiapo,3101.0,171766.0,2020-04-15,5.0
60,Atacama,3.0,Diego de Almagro,3202.0,14358.0,2020-04-13,0.0
61,Atacama,3.0,Diego de Almagro,3202.0,14358.0,2020-04-15,0.0
62,Atacama,3.0,Freirina,3303.0,7681.0,2020-04-13,0.0
63,Atacama,3.0,Freirina,3303.0,7681.0,2020-04-15,0.0
64,Atacama,3.0,Huasco,3304.0,11264.0,2020-04-13,0.0
65,Atacama,3.0,Huasco,3304.0,11264.0,2020-04-15,0.0
66,Atacama,3.0,Tierra Amarilla,3103.0,14312.0,2020-04-13,4.0
67,Atacama,3.0,Tierra Amarilla,3103.0,14312.0,2020-04-15,4.0
68,Atacama,3.0,Vallenar,3301.0,57009.0,2020-04-13,0.0
69,Atacama,3.0,Vallenar,3301.0,57009.0,2020-04-15,0.0
70,Atacama,3.0,Total,,314709.0,2020-04-13,9.0
71,Atacama,3.0,Total,,314709.0,2020-04-15,9.0
72,,,,,,2020-04-13,
73,,,,,,2020-04-15,
74,Coquimbo,4.0,Andacollo,4103.0,11791.0,2020-04-13,0.0
75,Coquimbo,4.0,Andacollo,4103.0,11791.0,2020-04-15,0.0
76,Coquimbo,4.0,Canela,4202.0,9546.0,2020-04-13,0.0
77,Coquimbo,4.0,Canela,4202.0,9546.0,2020-04-15,0.0
78,Coquimbo,4.0,Combarbala,4302.0,13884.0,2020-04-13,0.0
79,Coquimbo,4.0,Combarbala,4302.0,13884.0,2020-04-15,0.0
80,Coquimbo,4.0,Coquimbo,4102.0,256735.0,2020-04-13,1.0
81,Coquimbo,4.0,Coquimbo,4102.0,256735.0,2020-04-15,2.0
82,Coquimbo,4.0,Illapel,4201.0,32801.0,2020-04-13,13.0
83,Coquimbo,4.0,Illapel,4201.0,32801.0,2020-04-15,12.0
84,Coquimbo,4.0,La Higuera,4104.0,4450.0,2020-04-13,0.0
85,Coquimbo,4.0,La Higuera,4104.0,4450.0,2020-04-15,0.0
86,Coquimbo,4.0,La Serena,4101.0,249656.0,2020-04-13,2.0
87,Coquimbo,4.0,La Serena,4101.0,249656.0,2020-04-15,1.0
88,Coquimbo,4.0,Los Vilos,4203.0,23374.0,2020-04-13,0.0
89,Coquimbo,4.0,Los Vilos,4203.0,23374.0,2020-04-15,0.0
90,Coquimbo,4.0,Monte Patria,4303.0,32527.0,2020-04-13,0.0
91,Coquimbo,4.0,Monte Patria,4303.0,32527.0,2020-04-15,0.0
92,Coquimbo,4.0,Ovalle,4301.0,121269.0,2020-04-13,0.0
93,Coquimbo,4.0,Ovalle,4301.0,121269.0,2020-04-15,1.0
94,Coquimbo,4.0,Paiguano,4105.0,4675.0,2020-04-13,0.0
95,Coquimbo,4.0,Paiguano,4105.0,4675.0,2020-04-15,0.0
96,Coquimbo,4.0,Punitaqui,4304.0,12165.0,2020-04-13,0.0
97,Coquimbo,4.0,Punitaqui,4304.0,12165.0,2020-04-15,0.0
98,Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,2020-04-13,0.0
99,Coquimbo,4.0,Rio Hurtado,4305.0,4372.0,2020-04-15,0.0
100,Coquimbo,4.0,Salamanca,4204.0,29110.0,2020-04-13,3.0
101,Coquimbo,4.0,Salamanca,4204.0,29110.0,2020-04-15,3.0
102,Coquimbo,4.0,Vicuna,4106.0,29741.0,2020-04-13,0.0
103,Coquimbo,4.0,Vicuna,4106.0,29741.0,2020-04-15,0.0
104,Coquimbo,4.0,Total,,836096.0,2020-04-13,19.0
105,Coquimbo,4.0,Total,,836096.0,2020-04-15,19.0
106,,,,,,2020-04-13,
107,,,,,,2020-04-15,
108,Valparaiso,5.0,Algarrobo,5602.0,15174.0,2020-04-13,0.0
109,Valparaiso,5.0,Algarrobo,5602.0,15174.0,2020-04-15,0.0
110,Valparaiso,5.0,Cabildo,5402.0,20663.0,2020-04-13,0.0
111,Valparaiso,5.0,Cabildo,5402.0,20663.0,2020-04-15,0.0
112,Valparaiso,5.0,Calera,5502.0,53591.0,2020-04-13,1.0
113,Valparaiso,5.0,Calera,5502.0,53591.0,2020-04-15,3.0
114,Valparaiso,5.0,Calle Larga,5302.0,16482.0,2020-04-13,2.0
115,Valparaiso,5.0,Calle Larga,5302.0,16482.0,2020-04-15,2.0
116,Valparaiso,5.0,Cartagena,5603.0,25357.0,2020-04-13,2.0
