"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Reported1st case,Primer caso
World,3012433,"+19,171",207885.0,970.0,888111.0,1916437,57540.0,386.0,26.7,,,,
USA,987322,+162,55415.0,2.0,118781.0,813126,15143.0,2983.0,167.0,5470555.0,16527.0,Jan 20,20-01-2020
Spain,229422,"+2,793",23521.0,331.0,120832.0,85069,7764.0,4907.0,503.0,1345560.0,28779.0,Jan 30,30-01-2020
Italy,197675,,26644.0,,64928.0,106103,2009.0,3269.0,441.0,1757659.0,29071.0,Jan 29,29-01-2020
France,162100,,22856.0,,44903.0,94341,4682.0,2483.0,350.0,463662.0,7103.0,Jan 23,23-01-2020
Germany,157946,+176,5984.0,8.0,114500.0,37462,2570.0,1885.0,71.0,2072669.0,24738.0,Jan 26,26-01-2020
UK,152840,,20732.0,,,131764,1559.0,2251.0,305.0,669850.0,9867.0,Jan 30,30-01-2020
Turkey,110130,,2805.0,,29140.0,78185,1776.0,1306.0,33.0,898742.0,10656.0,Mar 09,09-03-2020
Iran,91472,+991,5806.0,96.0,70933.0,14733,3011.0,1089.0,69.0,432329.0,5147.0,Feb 18,18-02-2020
Russia,87147,"+6,198",794.0,47.0,7346.0,79007,2300.0,597.0,5.0,3019434.0,20690.0,Jan 30,30-01-2020
Brazil,63100,+241,4286.0,15.0,30152.0,28662,8318.0,297.0,20.0,291922.0,1373.0,Feb 24,24-02-2020
Canada,46895,,2560.0,,17321.0,27014,557.0,1243.0,68.0,707508.0,18746.0,Jan 24,24-01-2020
Belgium,46687,+553,7207.0,113.0,10878.0,28602,903.0,4028.0,622.0,214042.0,18468.0,Feb 03,03-02-2020
Netherlands,38245,+400,4518.0,43.0,,33477,934.0,2232.0,264.0,193950.0,11319.0,Feb 26,26-02-2020
Switzerland,29164,+103,1640.0,30.0,21800.0,5724,185.0,3370.0,189.0,245300.0,28343.0,Feb 24,24-02-2020
India,27977,+87,884.0,3.0,6523.0,20570,,20.0,0.6,665819.0,482.0,Jan 29,29-01-2020
Peru,27517,,728.0,,8088.0,18701,554.0,835.0,22.0,232747.0,7059.0,Mar 05,05-03-2020
Portugal,24027,+163,928.0,25.0,1357.0,21742,176.0,2356.0,91.0,330512.0,32414.0,Mar 01,01-03-2020
Ecuador,22719,,576.0,,1366.0,20777,127.0,1288.0,33.0,56513.0,3203.0,Feb 28,28-02-2020
Ireland,19262,,1087.0,,9233.0,8942,142.0,3901.0,220.0,127319.0,25785.0,Feb 28,28-02-2020
Sweden,18926,+286,2274.0,80.0,1005.0,15647,399.0,1874.0,225.0,94500.0,9357.0,Jan 30,30-01-2020
Saudi Arabia,17522,,139.0,,2357.0,15026,115.0,503.0,4.0,200000.0,5745.0,Mar 01,01-03-2020
Israel,15466,+23,202.0,1.0,6796.0,8468,129.0,1787.0,23.0,302691.0,34971.0,Feb 20,20-02-2020
Austria,15274,+49,549.0,7.0,12362.0,2363,140.0,1696.0,61.0,232537.0,25819.0,Feb 24,24-02-2020
Mexico,14677,+835,1351.0,46.0,8354.0,4972,378.0,114.0,10.0,67635.0,525.0,Feb 27,27-02-2020
Singapore,14423,+799,12.0,,1060.0,13351,22.0,2465.0,2.0,121774.0,20815.0,Jan 22,22-01-2020
Japan,13441,,372.0,,1809.0,11260,296.0,106.0,3.0,149074.0,1179.0,Jan 14,14-01-2020
Chile,13331,,189.0,,7024.0,6118,418.0,697.0,10.0,155975.0,8159.0,Mar 02,02-03-2020
Pakistan,13328,,281.0,,3029.0,10018,111.0,60.0,1.0,150756.0,682.0,Feb 25,25-02-2020
Poland,11761,+144,539.0,4.0,2466.0,8756,160.0,311.0,14.0,297859.0,7870.0,Mar 03,03-03-2020
Romania,11339,+303,631.0,12.0,3141.0,7567,227.0,589.0,33.0,143834.0,7477.0,Feb 25,25-02-2020
Belarus,11289,+826,75.0,3.0,1740.0,9474,92.0,1195.0,8.0,153845.0,16281.0,Feb 27,27-02-2020
Qatar,11244,+957,10.0,,1066.0,10168,72.0,3903.0,3.0,85709.0,29749.0,Feb 28,28-02-2020
S. Korea,10738,+10,243.0,1.0,8764.0,1731,55.0,209.0,5.0,601660.0,11735.0,Jan 19,19-01-2020
UAE,10349,,76.0,,1978.0,8295,1.0,1046.0,8.0,1057326.0,106904.0,Jan 28,28-01-2020
Indonesia,9096,+214,765.0,22.0,1151.0,7180,,33.0,3.0,75157.0,275.0,Mar 01,01-03-2020
Ukraine,9009,+392,220.0,11.0,864.0,7925,110.0,206.0,5.0,93519.0,2138.0,Mar 02,02-03-2020
Denmark,8698,+123,422.0,,5805.0,2471,70.0,1502.0,73.0,155810.0,26900.0,Feb 26,26-02-2020
Serbia,8042,,156.0,,1182.0,6704,85.0,920.0,18.0,64303.0,7360.0,Mar 05,05-03-2020
Philippines,7777,+198,511.0,10.0,932.0,6334,31.0,71.0,5.0,84789.0,774.0,Jan 29,29-01-2020
Norway,7527,,202.0,1.0,32.0,7293,49.0,1388.0,37.0,155125.0,28614.0,Feb 25,25-02-2020
Czechia,7408,+4,221.0,1.0,2600.0,4587,73.0,692.0,21.0,218474.0,20401.0,Feb 29,29-02-2020
Australia,6720,+4,83.0,,5586.0,1051,43.0,264.0,3.0,517063.0,20277.0,Jan 24,24-01-2020
Dominican Republic,6135,,278.0,,910.0,4947,144.0,566.0,26.0,22498.0,2074.0,Feb 29,29-02-2020
Bangladesh,5913,+497,152.0,7.0,131.0,5630,1.0,36.0,0.9,50401.0,306.0,Mar 07,07-03-2020
Malaysia,5820,+40,99.0,1.0,3957.0,1764,37.0,180.0,3.0,138898.0,4291.0,Jan 24,24-01-2020
Panama,5779,+241,165.0,6.0,369.0,5245,85.0,1339.0,38.0,26642.0,6175.0,Mar 09,09-03-2020
Colombia,5379,,244.0,,1133.0,4002,117.0,106.0,5.0,87199.0,1714.0,Mar 05,05-03-2020
Finland,4695,+119,190.0,,2500.0,2005,62.0,847.0,34.0,82437.0,14878.0,Jan 28,28-01-2020
South Africa,4546,,87.0,,1473.0,2986,36.0,77.0,1.0,168643.0,2843.0,Mar 04,04-03-2020
Egypt,4534,,317.0,,1176.0,3041,,44.0,3.0,90000.0,879.0,Feb 13,13-02-2020
Morocco,4115,+50,161.0,,669.0,3285,1.0,111.0,4.0,28416.0,770.0,Mar 01,01-03-2020
Argentina,3892,,192.0,,1107.0,2593,144.0,86.0,4.0,49905.0,1104.0,Mar 02,02-03-2020
Luxembourg,3723,,88.0,,3104.0,531,22.0,5947.0,141.0,39003.0,62307.0,Feb 28,28-02-2020
Moldova,3408,,101.0,5.0,925.0,2382,212.0,845.0,25.0,11763.0,2916.0,Mar 06,06-03-2020
Algeria,3382,,425.0,,1508.0,1449,40.0,77.0,10.0,6500.0,148.0,Feb 24,24-02-2020
Kuwait,3288,+213,22.0,2.0,1012.0,2254,64.0,770.0,5.0,,,Feb 23,23-02-2020
Thailand,2931,+9,52.0,1.0,2609.0,270,61.0,42.0,0.7,178083.0,2551.0,Jan 12,12-01-2020
Kazakhstan,2835,+118,25.0,,720.0,2090,35.0,151.0,1.0,205560.0,10948.0,Mar 12,12-03-2020
Bahrain,2647,,8.0,,1189.0,1450,2.0,1556.0,5.0,114110.0,67061.0,Feb 23,23-02-2020
Hungary,2583,+83,280.0,8.0,498.0,1805,61.0,267.0,29.0,65625.0,6793.0,Mar 03,03-03-2020
Greece,2517,,134.0,,577.0,1806,46.0,241.0,13.0,64608.0,6199.0,Feb 25,25-02-2020
Oman,2049,+51,10.0,,364.0,1675,3.0,401.0,2.0,,,Feb 23,23-02-2020
Croatia,2039,+9,59.0,4.0,1166.0,814,21.0,497.0,14.0,32817.0,7994.0,Feb 24,24-02-2020
Uzbekistan,1887,+18,8.0,,880.0,999,8.0,56.0,0.2,242536.0,7247.0,Mar 14,14-03-2020
Iraq,1820,,87.0,,1263.0,470,,45.0,2.0,71471.0,1777.0,Feb 21,21-02-2020
Armenia,1808,+62,29.0,1.0,848.0,931,10.0,610.0,10.0,18547.0,6259.0,Feb 29,29-02-2020
Iceland,1792,,10.0,,1608.0,174,3.0,5251.0,29.0,46352.0,135833.0,Feb 27,27-02-2020
Afghanistan,1703,+172,57.0,7.0,220.0,1426,7.0,44.0,1.0,8694.0,223.0,Feb 23,23-02-2020
Estonia,1647,+4,50.0,1.0,233.0,1364,7.0,1242.0,38.0,48406.0,36491.0,Feb 26,26-02-2020
Azerbaijan,1645,,21.0,,1139.0,485,15.0,162.0,2.0,120479.0,11883.0,Feb 27,27-02-2020
Cameroon,1621,,56.0,,786.0,779,12.0,61.0,2.0,,,Mar 05,05-03-2020
Bosnia and Herzegovina,1565,+49,60.0,1.0,659.0,846,4.0,477.0,18.0,26822.0,8175.0,Mar 04,04-03-2020
Ghana,1550,,11.0,,155.0,1384,4.0,50.0,0.4,100622.0,3238.0,Mar 11,11-03-2020
New Zealand,1469,,19.0,1.0,1180.0,270,1.0,305.0,4.0,123920.0,25698.0,Feb 27,27-02-2020
Lithuania,1449,+11,41.0,,474.0,934,17.0,532.0,15.0,106775.0,39223.0,Feb 27,27-02-2020
Slovenia,1402,+6,83.0,1.0,221.0,1098,22.0,674.0,40.0,49607.0,23862.0,Mar 03,03-03-2020
North Macedonia,1386,,61.0,,500.0,825,13.0,665.0,29.0,15120.0,7257.0,Feb 25,25-02-2020
Slovakia,1381,+2,18.0,,403.0,960,7.0,253.0,3.0,74099.0,13572.0,Mar 05,05-03-2020
Cuba,1369,,54.0,,501.0,814,11.0,121.0,5.0,39828.0,3516.0,Mar 10,10-03-2020
Bulgaria,1348,+48,56.0,,206.0,1086,41.0,194.0,8.0,27000.0,3886.0,Mar 06,06-03-2020
Nigeria,1273,,40.0,,239.0,994,2.0,6.0,0.2,10918.0,53.0,Feb 27,27-02-2020
Ivory Coast,1150,,14.0,,468.0,668,,44.0,0.5,,,Mar 10,10-03-2020
Hong Kong,1038,,4.0,,787.0,247,4.0,138.0,0.5,145640.0,19426.0,Jan 22,22-01-2020
Djibouti,1023,,2.0,,411.0,610,,1035.0,2.0,11741.0,11884.0,Mar 17,17-03-2020
Guinea,996,,7.0,,208.0,781,,76.0,0.5,,,Mar 12,12-03-2020
Bolivia,950,+84,50.0,4.0,80.0,820,3.0,81.0,4.0,5791.0,496.0,Mar 09,09-03-2020
Tunisia,949,,38.0,,216.0,695,20.0,80.0,3.0,20818.0,1761.0,Mar 01,01-03-2020
Latvia,818,+6,13.0,1.0,267.0,538,5.0,434.0,7.0,49235.0,26103.0,Mar 01,01-03-2020
Cyprus,817,,14.0,,148.0,655,15.0,677.0,12.0,43542.0,36064.0,Mar 08,08-03-2020
Andorra,738,,40.0,,344.0,354,17.0,9552.0,518.0,1673.0,21653.0,Mar 01,01-03-2020
Albania,726,,28.0,,410.0,288,4.0,252.0,10.0,7279.0,2529.0,Mar 07,07-03-2020
Diamond Princess,712,,13.0,,645.0,54,4.0,,,,,Feb 04,04-02-2020
Lebanon,710,+3,24.0,,145.0,541,44.0,104.0,4.0,29367.0,4303.0,Feb 20,20-02-2020
Niger,696,,29.0,,350.0,317,,29.0,1.0,5013.0,207.0,Mar 18,18-03-2020
