Entity,Code,Date,Total confirmed deaths per million (deaths per million),Daily confirmed deaths per million (deaths per million)
Afghanistan,AFG,"Dec 31, 2019",0.0,0.0
Afghanistan,AFG,"Jan 1, 2020",0.0,0.0
